GCF_000511955.1|WP_035143258.1 [Schnuerera ultunensis]
GCF_001293565.1|WP_053999355.1 [Ahrensia marina]
GCF_001593605.1|WP_067548841.1 [Algoriphagus sanaruensis]
GCF_001936475.1|WP_075348814.1 [Algoriphagus marinus]
GCF_001936475.1|WP_075352569.1 [Algoriphagus marinus]
GCF_001936475.1|WP_075352596.1 [Algoriphagus marinus]
GCF_002287075.1|WP_095605749.1 [Aliifodinibius salipaludis]
GCF_002287075.1|WP_095606767.1 [Aliifodinibius salipaludis]
GCF_002287075.1|WP_095606889.1 [Aliifodinibius salipaludis]
GCF_002287075.1|WP_217988363.1 [Aliifodinibius salipaludis]
GCF_002287075.1|WP_217988400.1 [Aliifodinibius salipaludis]
GCF_003015185.1|WP_106892757.1 [Ahniella affigens]
GCF_003116585.1|WP_109464112.1 [Albibacillus kandeliae]
GCF_003254055.1|WP_111322295.1 [Algoriphagus chordae]
GCF_003259255.1|WP_111669417.1 [Algoriphagus litoralis]
GCF_003259505.1|WP_317046700.1 [Algoriphagus yeomjeoni]
GCF_003583985.1|WP_317133438.1 [Algoriphagus lacus]
GCF_004362805.1|WP_133553588.1 [Algoriphagus boseongensis]
GCF_004362805.1|WP_133553964.1 [Algoriphagus boseongensis]
GCF_004368925.1|WP_042501141.1 protein [Algibacter]
GCF_004571135.1|WP_135075929.1 [Algoriphagus kandeliae]
GCF_004804355.1|WP_136483059.1 [Algibacter onchidii]
GCF_004804355.1|WP_235835907.1 [Algibacter onchidii]
GCF_007655305.1|WP_144607606.1 [Algoriphagus algorifonticola]
GCF_008033385.1|WP_147677181.1 [Algibacter pacificus]
GCF_008033385.1|WP_147679105.1 [Algibacter pacificus]
GCF_014202225.1|WP_144114739.1 [Algibacter amylolyticus]
GCF_014206875.1|WP_184496553.1 [Algoriphagus iocasae]
GCF_014651495.1|WP_189359252.1 [Algibacter mikhailovii]
GCF_014651495.1|WP_189359834.1 [Algibacter mikhailovii]
GCF_014651495.1|WP_189360961.1 [Algibacter mikhailovii]
GCF_014652695.1|WP_189499598.1 [Algimonas arctica]
GCF_014652695.1|WP_233354082.1 [Algimonas arctica]
GCF_015558405.1|WP_195579963.1 [Alistipes shahii]
GCF_017051705.1|WP_205643763.1 [Algoriphagus lutimaris]
GCF_017051705.1|WP_205643768.1 [Algoriphagus lutimaris]
GCF_017051705.1|WP_205644256.1 [Algoriphagus lutimaris]
GCF_017051705.1|WP_205644257.1 [Algoriphagus lutimaris]
GCF_017254835.1|WP_206567696.1 [Algoriphagus aestuariicola]
GCF_017254845.1|WP_206587478.1 [Algoriphagus pacificus]
GCF_017254845.1|WP_206588659.1 [Algoriphagus pacificus]
GCF_019931215.1|WP_223422882.1 [Alcanivorax limicola]
GCF_024105665.1|WP_252912746.1 [Aliihoeflea aestuarii]
GCF_030159935.1|WP_284368957.1 [Algimonas porphyrae]
GCF_030344935.1|WP_289194476.1 [Algibacter luteus]
GCF_030409805.1|WP_042501141.1 protein [Algibacter]
GCF_900107675.1|WP_010266062.1 [Alistipes timonensis]
GCF_900112005.1|WP_092895316.1 [Algoriphagus aquimarinus]
GCF_900115015.1|WP_092906824.1 [Algoriella xinjiangensis]
GCF_900116615.1|WP_091691260.1 [Algoriphagus locisalis]
GCF_900624755.1|WP_026076614.1 protein [Alistipes]
GCF_943193205.1|WP_251214167.1 [Alistipes muris]
GCF_000014785.1|WP_011630027.1 [Alkalilimnicola ehrlichii]
GCF_000016985.1|WP_041721516.1 [Alkaliphilus metalliredigens]
GCF_000224085.1|WP_014033461.1 protein [Flavobacteriaceae]
GCF_000963865.1|WP_045801805.1 [Allomuricauda lutaonensis]
GCF_000963865.1|WP_262491910.1 protein [Flavobacteriaceae]
GCF_001758465.1|WP_070176770.1 [Alteromonas lipolytica]
GCF_002807685.1|WP_100658221.1 [Alteromonas flava]
GCF_002993365.1|WP_105936276.1 [Alteromonas alba]
GCF_003001695.1|WP_106144213.1 [Flagellimonas meridianipacifica]
GCF_003001695.1|WP_313790298.1 [Flagellimonas meridianipacifica]
GCF_003004785.1|WP_106340123.1 [Alsobacter soli]
GCF_003004785.1|WP_342587875.1 partial [Alsobacter
GCF_003012815.1|WP_106640155.1 [Allosphingosinicella vermicomposti]
GCF_003054175.1|WP_244641059.1 [Allosediminivita pacifica]
GCF_003058265.1|WP_108425174.1 [Flagellimonas amoyensis]
GCF_003058265.1|WP_234416358.1 [Flagellimonas amoyensis]
GCF_003269425.1|WP_112378320.1 [Allomuricauda aurantiaca]
GCF_003363135.1|WP_115490828.1 [Alteriqipengyuania lutimaris]
GCF_003363135.1|WP_115492013.1 [Alteriqipengyuania lutimaris]
GCF_003363135.1|WP_115493191.1 [Alteriqipengyuania lutimaris]
GCF_003363135.1|WP_115493196.1 [Alteriqipengyuania lutimaris]
GCF_003363135.1|WP_234030914.1 [Alteriqipengyuania lutimaris]
GCF_003382275.1|WP_116183831.1 [Allomuricauda nanhaiensis]
GCF_003382275.1|WP_116184728.1 [Allomuricauda nanhaiensis]
GCF_003382275.1|WP_116184833.1 [Allomuricauda nanhaiensis]
GCF_003382275.1|WP_116185621.1 [Allomuricauda nanhaiensis]
GCF_003581615.1|WP_245980619.1 [Flagellimonas lutimaris]
GCF_003584105.1|WP_119618557.1 protein [Flavobacteriaceae]
GCF_003584105.1|WP_119620455.1 protein [Flavobacteriaceae]
GCF_003584135.1|WP_119645766.1 [Flagellimonas pelagia]
GCF_003584135.1|WP_119645769.1 [Flagellimonas pelagia]
GCF_003584135.1|WP_119648036.1 [Flagellimonas pelagia]
GCF_003584135.1|WP_313786739.1 [Flagellimonas pelagia]
GCF_003584135.1|WP_313786745.1 [Flagellimonas pelagia]
GCF_003584165.1|WP_119642023.1 [Flagellimonas aequoris]
GCF_003584165.1|WP_119642258.1 [Flagellimonas aequoris]
GCF_003584165.1|WP_182859096.1 [Flagellimonas aequoris]
GCF_003958635.1|WP_241233561.1 [Altericroceibacterium xinjiangense]
GCF_003992615.1|WP_127018337.1 [Flagellimonas beolgyonensis]
GCF_003992615.1|WP_127018526.1 [Flagellimonas beolgyonensis]
GCF_003992615.1|WP_127020318.1 [Flagellimonas beolgyonensis]
GCF_003992675.1|WP_127141022.1 [Flagellimonas marinaquae]
GCF_003992675.1|WP_127141923.1 [Flagellimonas marinaquae]
GCF_004150225.1|WP_129653796.1 [Flagellimonas olearia]
GCF_004150225.1|WP_313790129.1 [Flagellimonas olearia]
GCF_004296335.1|WP_130613881.1 [Flagellimonas allohymeniacidonis]
GCF_004916895.1|WP_136565148.1 [Flagellimonas alvinocaridis]
GCF_004965515.1|WP_136691475.1 [Alteraurantiacibacter aquimixticola]
GCF_004965515.1|WP_136692022.1 aquimixticola]
GCF_004965515.1|WP_136694527.1 [Alteraurantiacibacter aquimixticola]
GCF_004965515.1|WP_136694671.1 [Alteraurantiacibacter aquimixticola]
GCF_005937185.1|WP_138835819.1 [Allomuricauda algicola]
GCF_005937185.1|WP_138839404.1 [Allomuricauda algicola]
GCF_005937185.1|WP_313790997.1 [Allomuricauda algicola]
GCF_005937185.1|WP_313791004.1 [Allomuricauda algicola]
GCF_007785775.2|WP_151888844.1 [Flagellimonas hadalis]
GCF_007785775.2|WP_151890297.1 [Flagellimonas hadalis]
GCF_008630495.1|WP_150023006.1 [Alkalicaulis satelles]
GCF_008630495.1|WP_269844602.1 [Alkalicaulis satelles]
GCF_009827405.1|WP_160591970.1 [Alteraurantiacibacter aestuarii]
GCF_009827405.1|WP_337190189.1 [Alteraurantiacibacter aestuarii]
GCF_009827575.1|WP_160615678.1 [Alteriqipengyuania halimionae]
GCF_009827575.1|WP_160617603.1 [Alteriqipengyuania halimionae]
GCF_010500845.1|WP_163635612.1 [Allomuricauda sediminis]
GCF_010500845.1|WP_163635987.1 [Allomuricauda sediminis]
GCF_011068285.1|WP_166249812.1 [Allomuricauda oceani]
GCF_011320115.1|WP_166178891.1 [Altererythrobacter segetis]
GCF_012222965.1|WP_133942414.1 [Allofrancisella inopinata]
GCF_014274465.1|WP_186743147.1 [Alloacidobacterium dinghuense]
GCF_014636935.1|WP_188517732.1 [Alsobacter metallidurans]
GCF_017313275.1|WP_207028831.1 [Allomuricauda profundi]
GCF_017313275.1|WP_237685958.1 [Allomuricauda profundi]
GCF_017313785.1|WP_237688818.1 [Allomuricauda aurea]
GCF_019457905.1|WP_220114745.1 [Allomuricauda abyssi]
GCF_019457905.1|WP_220114975.1 [Allomuricauda abyssi]
GCF_019857185.1|WP_222823883.1 [Alteriqipengyuania abyssalis]
GCF_019857185.1|WP_222824163.1 [Alteriqipengyuania abyssalis]
GCF_019857185.1|WP_222824412.1 [Alteriqipengyuania abyssalis]
GCF_019857185.1|WP_222824441.1 [Alteriqipengyuania abyssalis]
GCF_019857185.1|WP_222824842.1 [Alteriqipengyuania abyssalis]
GCF_023650495.1|WP_250656459.1 [Alkalimarinus coralli]
GCF_023700755.1|WP_250940822.1 [Allorhizobium sonneratiae]
GCF_900102925.1|WP_090292485.1 [Allomuricauda zhangzhouensis]
GCF_900102925.1|WP_090299358.1 [Allomuricauda zhangzhouensis]
GCF_900112295.1|WP_072876642.1 [Flagellimonas taeanensis]
GCF_900112295.1|WP_072879575.1 [Flagellimonas taeanensis]
GCF_900129665.1|WP_073178912.1 [Allomuricauda flava]
GCF_900177405.1|WP_085218594.1 [Allosphingosinicella indica]
GCF_900177715.1|WP_086437793.1 [Altererythrobacter xiamenensis]
GCF_000374525.1|WP_018698596.1 [Amorphus coralli]
GCF_000374525.1|WP_018701266.1 [Amorphus coralli]
GCF_000374525.1|WP_342662894.1 [Amorphus coralli]
GCF_000758765.1|WP_004826730.1 [Anaerococcus lactolyticus]
GCF_000758765.1|WP_037327293.1 [Anaerococcus lactolyticus]
GCF_000758765.1|WP_037328431.1 [Anaerococcus lactolyticus]
GCF_002007645.1|WP_236782722.1 [Anaerohalosphaera lusitana]
GCF_002742285.1|WP_099591720.1 protein [Amylibacter]
GCF_002871895.1|WP_004817560.1 [Anaerococcus hydrogenalis]
GCF_003097495.1|WP_116755432.1 [Amnibacterium flavum]
GCF_003337415.1|WP_114296178.1 [Anaerobacterium chartisolvens]
GCF_003433955.1|WP_117521855.1 protein [Anaerococcus]
GCF_003731635.1|WP_123326743.1 [Alteromonas oceani]
GCF_004366815.1|WP_133958136.1 [Aminivibrio pyruvatiphilus]
GCF_014138635.1|WP_067963896.1 protein [Aminobacter]
GCF_014138635.1|WP_067963929.1 protein [Aminobacter]
GCF_014138635.1|WP_067966878.1 protein [Aminobacter]
GCF_014200015.1|WP_183261675.1 [Aminobacter niigataensis]
GCF_014207495.1|WP_184772377.1 [Aminobacter carboxidus]
GCF_014652655.1|WP_099591720.1
GCF_014863355.1|WP_184772377.1 [Aminobacter carboxidus]
GCF_018555685.1|WP_214392204.1 [Aminobacter anthyllidis]
GCF_019957155.1|WP_223417631.1 [Anaerococcus murdochii]
GCF_019957155.1|WP_223417633.1 [Anaerococcus murdochii]
GCF_019957155.1|WP_223417931.1 [Anaerococcus murdochii]
GCF_020215685.1|WP_209774682.1 [Anaerococcus degeneri]
GCF_900128415.1|WP_072536966.1 [Anaerococcus mediterraneensis]
GCF_900128425.1|WP_073998198.1 [Anaerococcus urinomassiliensis]
GCF_900199215.1|WP_089410692.1 [Amphiplicatus metriothermophilus]
GCF_900290195.1|WP_105300860.1 [Anaerococcus marasmi]
GCF_900445245.1|WP_034293431.1 [Alysiella crassa]
GCF_900445265.1|WP_172540089.1 protein [Anaerococcus]
GCF_900445285.1|WP_015778199.1 [Anaerococcus prevotii]
GCF_900626155.1|WP_130819432.1 [Anaerococcus vaginimassiliensis]
GCF_900626155.1|WP_130819529.1 [Anaerococcus vaginimassiliensis]
GCF_902375965.1|WP_058991161.1 [Anaerococcus rubeinfantis]
GCF_943192945.1|WP_251183205.1 [Anaerocaecibacter muris]
GCF_000374545.1|WP_018702245.1 [Anaeromusa acidaminophila]
GCF_000430645.1|WP_027393393.1 protein [Aquimarina]
GCF_000520955.1|WP_025743456.1 [Aquimarina pacifica]
GCF_000520975.1|WP_025664166.1 [Aquimarina megaterium]
GCF_000520975.1|WP_025664484.1 [Aquimarina megaterium]
GCF_000521175.1|WP_236630659.1 [Aphanizomenon flos-aquae]
GCF_001889605.1|WP_072608015.1 [Aquibium oceanicum]
GCF_002105465.1|WP_085338571.1 [Aquidulcibacter paucihalophilus]
GCF_003350455.1|WP_114833702.1 [Aquicella lusitana]
GCF_003350455.1|WP_114833709.1 [Aquicella lusitana]
GCF_003350455.1|WP_114834286.1 [Aquicella lusitana]
GCF_003970795.1|WP_126699987.1 [Aquibium carbonis]
GCF_003970795.1|WP_126700706.1 [Aquibium carbonis]
GCF_003993795.1|WP_127089137.1 [Aquabacter cavernae]
GCF_003996985.1|WP_127342274.1 [Ancylomarina longa]
GCF_004122035.1|WP_129254510.1 [Ancylomarina salipaludis]
GCF_004216895.1|WP_130285964.1 [Aquimarina brevivitae]
GCF_004339465.1|WP_245515987.1 [Ancylobacter aquaticus]
GCF_006159205.1|WP_139065873.1 protein [Antarcticibacterium]
GCF_007559435.1|WP_144341420.1 [Ancylobacter moscoviensis]
GCF_014195655.1|WP_183187860.1 [Ancylobacter tetraedralis]
GCF_014205875.1|WP_184310871.1 [Anaerosolibacter carboniphilus]
GCF_014495845.1|WP_187970967.1 [Aquibium microcysteis]
GCF_014495845.1|WP_187972101.1 [Aquibium microcysteis]
GCF_014641635.1|WP_188605677.1 [Aquaticitalea lipolytica]
GCF_014651355.1|WP_027410845.1 [Aquimarina muelleri]
GCF_014651355.1|WP_027412334.1 [Aquimarina muelleri]
GCF_015476655.1|WP_317174590.1 [Aquiflexum lacus]
GCF_016735115.1|WP_201923219.1 [Aquimarina mytili]
GCF_018390555.1|WP_213351631.1 [Ancylobacter oerskovii]
GCF_018390555.1|WP_213351949.1 [Ancylobacter oerskovii]
GCF_018390645.1|WP_213371594.1 [Ancylobacter dichloromethanicus]
GCF_018449475.1|WP_213756630.1 [Ancylobacter radicis]
GCF_019295435.1|WP_219007707.1 [Aquimarina litoralis]
GCF_022836935.1|WP_244375643.1 [Ancylobacter polymorphus]
GCF_023016525.1|WP_247198489.1 [Ancylobacter koreensis]
GCF_023016525.1|WP_247198655.1 [Ancylobacter koreensis]
GCF_023169945.1|WP_248361392.1 [Anaeromyxobacter oryzae]
GCF_024752335.1|WP_258740309.1 [Ancylobacter mangrovi]
GCF_900141865.1|WP_080326035.1 [Anaerovibrio lipolyticus]
GCF_900176595.1|WP_084119807.1 [Aquiflexum balticum]
GCF_947494415.1|WP_143917996.1 [Aquimarina algiphila]
GCF_000424985.1|WP_026810724.1 [Arenibacter latericius]
GCF_000429545.1|WP_026813250.1 [Arenibacter certesii]
GCF_000429545.1|WP_034236345.1 [Arenibacter certesii]
GCF_001870735.1|WP_071505873.1 [Arsenicibacter rosenii]
GCF_002150785.1|WP_086476967.1 [Arenibacter amylolyticus]
GCF_002234495.1|WP_093976810.1 [Arenibacter algicola]
GCF_002909235.1|WP_103475502.1 protein [Arenibacter]
GCF_002909235.1|WP_103476515.1 protein [Arenibacter]
GCF_002909235.1|WP_103477232.1 protein [Arenibacter]
GCF_002909255.1|WP_103441647.1 protein [Arenibacter]
GCF_002909255.1|WP_103442573.1 protein [Arenibacter]
GCF_003259375.1|WP_111623757.1 [Arenibacter echinorum]
GCF_003259375.1|WP_245946356.1 [Arenibacter echinorum]
GCF_003957295.1|WP_126161950.1 [Arenibacter aquaticus]
GCF_003994485.1|WP_127186729.1 [Arsenicitalea aurantiaca]
GCF_012910955.1|WP_169262240.1 [Aromatoleum diolicum]
GCF_013177675.1|WP_172127607.1 [Arcobacter acticola]
GCF_013376105.1|WP_176633858.1 [Arthrobacter wenxiniae]
GCF_014640095.1|WP_188158614.1 [Aquisalinus flavus]
GCF_014640095.1|WP_188159344.1 [Aquisalinus flavus]
GCF_014640095.1|WP_188481178.1 [Aquisalinus flavus]
GCF_014651515.1|WP_189402625.1 [Arenicella chitinivorans]
GCF_018118585.1|WP_084095558.1 [Aristaeella lactis]
GCF_018128945.1|WP_093957576.1 [Aristaeella hokkaidonensis]
GCF_019343195.1|WP_219292997.1 [Arthrospiribacter ruber]
GCF_019443285.1|WP_219893591.1 [Aquisediminimonas profunda]
GCF_023333585.1|WP_249067362.1 [Argonema antarcticum]
GCF_900177645.1|WP_085499592.1 [Arenibacter troitsensis]
GCF_900177645.1|WP_085499816.1 [Arenibacter troitsensis]
GCF_902386925.1|WP_197735963.1 [Arabiibacter massiliensis]
GCF_000153465.1|WP_040325079.1 [Aurantimonas manganoxydans]
GCF_000153465.1|WP_040325237.1 [Aurantimonas manganoxydans]
GCF_000421645.1|WP_024349275.1 [Aurantimonas coralicida]
GCF_000421645.1|WP_035694518.1 [Aurantimonas coralicida]
GCF_001010945.1|WP_047003654.1 [Aurantiacibacter luteus]
GCF_001010945.1|WP_047004155.1 [Aurantiacibacter luteus]
GCF_001010945.1|WP_338151455.1 [Aurantiacibacter luteus]
GCF_001571085.1|WP_084267799.1 [Azohydromonas lata]
GCF_001886695.1|WP_047005578.1 [Aurantiacibacter gangjinensis]
GCF_001886695.1|WP_047006030.1 [Aurantiacibacter gangjinensis]
GCF_001886695.1|WP_047006869.1 [Aurantiacibacter gangjinensis]
GCF_001886695.1|WP_047007824.1 [Aurantiacibacter gangjinensis]
GCF_001886695.1|WP_206539546.1 [Aurantiacibacter gangjinensis]
GCF_001886695.1|WP_335622563.1 gangjinensis]
GCF_002943755.1|WP_104813038.1 [Aureitalea marina]
GCF_003008425.1|WP_106463586.1 [Aurantibacter aestuarii]
GCF_003008425.1|WP_221405025.1 [Aurantibacter aestuarii]
GCF_003449015.1|WP_117879601.1 [Aureibaculum luteum]
GCF_003449015.1|WP_117880637.1 [Aureibaculum luteum]
GCF_003449015.1|WP_117881112.1 [Aureibaculum luteum]
GCF_003584015.1|WP_119591381.1 [Aurantiacibacter xanthus]
GCF_003584015.1|WP_119591603.1 [Aurantiacibacter xanthus]
GCF_003584015.1|WP_119591646.1 [Aurantiacibacter xanthus]
GCF_003584015.1|WP_119593349.1 [Aurantiacibacter xanthus]
GCF_003584125.1|WP_119586202.1 [Aurantiacibacter zhengii]
GCF_003584125.1|WP_325049001.1 zhengii]
GCF_003605195.1|WP_120076435.1 [Aurantiacibacter odishensis]
GCF_003605195.1|WP_120078402.1 [Aurantiacibacter odishensis]
GCF_003605195.1|WP_338068458.1 odishensis]
GCF_003605475.1|WP_120047918.1 [Aurantiacibacter aquimixticola]
GCF_003605475.1|WP_120048705.1 [Aurantiacibacter aquimixticola]
GCF_003815535.1|WP_123879461.1 [Aurantiacibacter spongiae]
GCF_005434915.1|WP_137678919.1 [Aurantiacibacter suaedae]
GCF_006065315.1|WP_138949565.1 [Aureibaculum algae]
GCF_006065315.1|WP_138949688.1 [Aureibaculum algae]
GCF_006065315.1|WP_138949710.1 [Aureibaculum algae]
GCF_006065315.1|WP_138949889.1 [Aureibaculum algae]
GCF_009176975.1|WP_152046607.1 [Aureimonas psammosilenae]
GCF_009760915.1|WP_157272173.1 [Azohydromonas aeria]
GCF_014635325.1|WP_188580946.1 [Azorhizobium oxalatiphilum]
GCF_014642635.1|WP_188906249.1 [Aureimonas endophytica]
GCF_014643375.1|WP_188848596.1 [Aureimonas glaciei]
GCF_014643375.1|WP_188848838.1 [Aureimonas glaciei]
GCF_014643375.1|WP_188850303.1 [Aureimonas glaciei]
GCF_014643415.1|WP_131451620.1 [Aurantiacibacter arachoides]
GCF_015775515.1|WP_281387999.1 [Atribacter laminatus]
GCF_015775515.1|WP_281388000.1 [Atribacter laminatus]
GCF_016019885.1|WP_197921089.1 [Aurantiacibacter sediminis]
GCF_016019885.1|WP_197921113.1 [Aurantiacibacter sediminis]
GCF_016019885.1|WP_234035244.1 sediminis]
GCF_016406085.1|WP_198841133.1 [Aureibaculum flavum]
GCF_016406085.1|WP_198841300.1 [Aureibaculum flavum]
GCF_016858125.1|WP_203386020.1 [Azospira restricta]
GCF_017183135.1|WP_206453233.1 [Aurantimonas marina]
GCF_017183135.1|WP_206453338.1 [Aurantimonas marina]
GCF_017876165.1|WP_209881145.1 [Azospirillum soli]
GCF_020005195.1|WP_085555078.1 [Azospirillum agricola]
GCF_025961205.1|WP_264664379.1 [Azospirillum fermentarium]
