"","NUM_HOMOLOGS","NTS_MEAN","NTS_PRESENCE","NTS_PRES_%","NTS_ANDPRESENCE","NTS_ANDPRES_%","NTSlike_MEAN","NTSlike_PRESENCE","NTSlike_PRES_%","NTSlike_ANDPRESENCE","NTSlike_ANDPRES_%"
"CAX49163.1_171",52,0,0,0,0,0,0.0192307692307692,1,1.92307692307692,0,0
"CAX49164.1_172",103,0,0,0,0,0,0.00970873786407767,1,0.970873786407767,0,0
"CAX49165.1_173",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49166.1_174",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49167.1_175",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49168.1_176",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49169.1_177",147,0.0204081632653061,2,1.36054421768707,0,0,0.0748299319727891,9,6.12244897959184,0,0
"CAX49170.1_178",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49171.1_179",191,0.00523560209424084,1,0.523560209424084,0,0,0.06282722513089,9,4.71204188481675,0,0
"CAX49172.1_180",592,0.00168918918918919,1,0.168918918918919,0,0,0.0658783783783784,29,4.89864864864865,1,0.168918918918919
"CAX49173.1_181",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49174.1_182",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49175.1_183",7,0,0,0,0,0,0,0,0,0,0
"CAX49176.1_184",431,0,0,0,0,0,0.0904872389791183,35,8.12064965197216,0,0
"CAX49177.1_185",341,0,0,0,0,0,0.0234604105571848,8,2.34604105571848,0,0
"CAX49178.1_186",2738,0,0,0,0,0,0.0398100803506209,93,3.39663988312637,4,0.14609203798393
"CAX49179.1_187",62,0,0,0,0,0,0.0161290322580645,1,1.61290322580645,0,0
"CAX49180.1_188",239,0,0,0,0,0,0.0627615062761506,12,5.02092050209205,1,0.418410041841004
"CAX49181.1_189",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49182.1_190",14,0,0,0,0,0,0,0,0,0,0
"CAX49183.1_191",15,0,0,0,0,0,0.0666666666666667,1,6.66666666666667,0,0
"CAX49184.1_192",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49185.1_193",1,0,0,0,0,0,0,0,0,0,0
"CAX49186.1_194",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49187.1_195",975,0.0041025641025641,3,0.307692307692308,0,0,0.0984615384615385,89,9.12820512820513,4,0.41025641025641
"CAX49188.1_196",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49189.1_197",236,0.0127118644067797,3,1.27118644067797,0,0,0.0720338983050847,15,6.35593220338983,0,0
"CAX49190.1_198",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49191.1_199",842,0.00118764845605701,1,0.118764845605701,0,0,0.0510688836104513,35,4.15676959619953,3,0.356294536817102
"CAX49192.1_200",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49193.1_201",2,0,0,0,0,0,0,0,0,0,0
"CAX49195.1_203",3,0,0,0,0,0,0.333333333333333,1,33.3333333333333,0,0
"CAX49196.1_204",723,0.012448132780083,9,1.2448132780083,0,0,0.0525587828492393,32,4.42600276625173,2,0.276625172890733
"CAX49197.1_205",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49198.1_206",3,0,0,0,0,0,0.333333333333333,1,33.3333333333333,0,0
"CAX49199.1_207",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49200.1_208",1903,0.000525486074619023,1,0.0525486074619023,0,0,0.068838675775092,99,5.20231213872832,9,0.47293746715712
"CAX49205.1_213",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49206.1_214",19,0,0,0,0,0,0,0,0,0,0
"CAX49207.1_215",1043,0.00287631831255992,2,0.191754554170662,0,0,0.0977948226270374,81,7.76605944391179,2,0.191754554170662
"CAX49208.1_216",2470,0.00121457489878543,2,0.0809716599190283,0,0,0.0724696356275304,151,6.11336032388664,5,0.202429149797571
"CAX49209.1_217",86,0,0,0,0,0,0.0348837209302326,3,3.48837209302326,0,0
"CAX49210.1_218",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49211.1_219",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49212.1_220",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49213.1_221",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49214.1_222",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49215.1_223",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49216.1_224",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49217.1_225",370,0,0,0,0,0,0.027027027027027,10,2.7027027027027,0,0
"CAX49218.1_226",19,0,0,0,0,0,0,0,0,0,0
"CAX49219.1_227",3,0,0,0,0,0,0,0,0,0,0
"CAX49220.1_228",17,0,0,0,0,0,0,0,0,0,0
"CAX49221.1_229",14,0,0,0,0,0,0.0714285714285714,1,7.14285714285714,0,0
"CAX49222.1_230",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49223.1_231",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49224.1_232",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49226.1_234",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49227.1_235",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49228.1_236",788,0,0,0,0,0,0.0355329949238579,27,3.42639593908629,0,0
"CAX49229.1_237",2640,0.00113636363636364,2,0.0757575757575758,0,0,0.0674242424242424,144,5.45454545454545,7,0.265151515151515
"CAX49230.1_238",379,0,0,0,0,0,0.0237467018469657,9,2.37467018469657,0,0
"CAX49231.1_239",1404,0,0,0,0,0,0.0455840455840456,55,3.91737891737892,1,0.0712250712250712
"CAX49232.1_240",276,0,0,0,0,0,0.0181159420289855,4,1.44927536231884,0,0
"CAX49233.1_241",885,0,0,0,0,0,0.0282485875706215,23,2.59887005649718,0,0
"CAX49235.1_243",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49236.1_244",273,0,0,0,0,0,0.0293040293040293,8,2.93040293040293,0,0
"CAX49237.1_245",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49238.1_246",1630,0.00184049079754601,2,0.122699386503067,1,0.0613496932515337,0.0601226993865031,83,5.0920245398773,3,0.184049079754601
"CAX49239.1_247",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49240.1_248",1476,0.000677506775067751,1,0.0677506775067751,0,0,0.0650406504065041,82,5.55555555555556,3,0.203252032520325
"CAX49241.1_249",160,0,0,0,0,0,0.0125,1,0.625,0,0
"CAX49242.1_250",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49243.1_251",621,0.00161030595813205,1,0.161030595813205,0,0,0.035426731078905,20,3.22061191626409,0,0
"CAX49244.1_252",588,0,0,0,0,0,0.0476190476190476,24,4.08163265306122,0,0
"CAX49245.1_253",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49246.1_254",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49247.1_255",80,0.05,2,2.5,1,1.25,0.075,4,5,1,1.25
"CAX49248.1_256",1,0,0,0,0,0,1,1,100,0,0
"CAX49249.1_257",18,0,0,0,0,0,0,0,0,0,0
"CAX49250.1_258",223,0,0,0,0,0,0.0762331838565022,15,6.72645739910314,0,0
"CAX49251.1_259",46,0,0,0,0,0,0.0869565217391304,4,8.69565217391304,0,0
"CAX49252.1_260",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49253.1_261",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49254.1_262",854,0.00702576112412178,4,0.468384074941452,0,0,0.0679156908665105,52,6.08899297423888,1,0.117096018735363
"CAX49255.1_263",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49256.1_264",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49257.1_265",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49259.1_267",1,0,0,0,0,0,0,0,0,0,0
"CAX49260.1_268",16,0,0,0,0,0,0,0,0,0,0
"CAX49261.1_269",37,0,0,0,0,0,0.0540540540540541,2,5.40540540540541,0,0
"CAX49262.1_270",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49263.1_271",562,0.00355871886120996,1,0.177935943060498,0,0,0.0658362989323843,31,5.51601423487545,1,0.177935943060498
"CAX49264.1_272",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49265.1_273",15,0,0,0,0,0,0.133333333333333,2,13.3333333333333,0,0
"CAX49266.1_274",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49267.1_275",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49268.1_276",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49269.1_277",21,0.0476190476190476,1,4.76190476190476,0,0,0.0952380952380952,2,9.52380952380952,0,0
"CAX49270.1_278",2029,0.00492853622474125,9,0.443568260226713,0,0,0.0892065056678167,146,7.19566288812223,9,0.443568260226713
"CAX49271.1_279",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49272.1_280",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49273.1_281",18,0,0,0,0,0,0.111111111111111,1,5.55555555555556,0,0
"CAX49274.1_282",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49276.1_284",4,0,0,0,0,0,0,0,0,0,0
"CAX49280.1_288",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49281.1_289",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49282.1_290",48,0.0416666666666667,2,4.16666666666667,0,0,0.1875,7,14.5833333333333,0,0
"CAX49283.1_291",31,0,0,0,0,0,0,0,0,0,0
"CAX49284.1_292",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49285.1_293",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49286.1_294",2096,0.000954198473282443,2,0.0954198473282443,0,0,0.0782442748091603,137,6.53625954198473,2,0.0954198473282443
"CAX49287.1_295",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49288.1_296",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49289.1_297",1,0,0,0,0,0,0,0,0,0,0
"CAX49290.1_298",38,0,0,0,0,0,0.0263157894736842,1,2.63157894736842,0,0
"CAX49293.1_301",1413,0.00283085633404105,4,0.283085633404105,0,0,0.0707714083510262,82,5.80325548478415,4,0.283085633404105
"CAX49294.1_302",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49295.1_303",4,0,0,0,0,0,0,0,0,0,0
"CAX49296.1_304",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49297.1_305",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49298.1_306",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49299.1_307",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49300.1_308",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49301.1_309",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49302.1_310",727,0.00137551581843191,1,0.137551581843191,0,0,0.0522696011004127,33,4.53920220082531,1,0.137551581843191
"CAX49303.1_311",1275,0,0,0,0,0,0.0305882352941176,33,2.58823529411765,3,0.235294117647059
"CAX49304.1_312",2,0,0,0,0,0,0,0,0,0,0
"CAX49305.1_313",9,0,0,0,0,0,0.222222222222222,1,11.1111111111111,0,0
"CAX49306.1_314",1186,0.00337268128161889,4,0.337268128161889,0,0,0.0649241146711636,63,5.31197301854975,3,0.252951096121417
"CAX49307.1_315",1290,0.00232558139534884,3,0.232558139534884,0,0,0.072093023255814,77,5.96899224806202,2,0.155038759689922
"CAX49308.1_316",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49309.1_317",4086,0.00342633382280959,10,0.244738130200685,0,0,0.0680372001957905,228,5.58002936857562,7,0.17131669114048
"CAX49310.1_318",303,0.0066006600660066,2,0.66006600660066,0,0,0.0924092409240924,22,7.26072607260726,2,0.66006600660066
"CAX49311.1_319",26,0,0,0,0,0,0,0,0,0,0
"CAX49312.1_320",68,0,0,0,0,0,0,0,0,0,0
"CAX49313.1_321",3,0,0,0,0,0,0,0,0,0,0
"CAX49314.1_322",10,0,0,0,0,0,0,0,0,0,0
"CAX49315.1_323",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49316.1_324",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49317.1_325",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49318.1_326",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49319.1_327",3363,0.00624442462087422,18,0.535236396074933,1,0.0297353553374963,0.107641986321737,267,7.93933987511151,22,0.654177817424918
"CAX49320.1_328",1148,0.00348432055749129,3,0.261324041811847,0,0,0.0522648083623693,47,4.09407665505226,0,0
