GCF 024518835.1|WP 256763800.1
GCF 001306035.1|WP 330218292.1
GCF 900182705.1|WP 142454007.1
GCF 022410535.1|WP 240081970.1
GCF 002117145.1|WP 198157295.1
GCF 001467975.1|WP 058507306.1
GCF 003664375.1|WP 245969005.1
GCF 026226615.1|WP 265823311.1
GCF 003044035.1|WP 193450646.1
GCF 017357825.1|WP 255550544.1
GCF 015775515.1|WP 281388000.1
GCF 005222225.1|WP 137166274.1
GCF 003290445.1|WP 112870930.1
GCF 001895265.1|WP 072711448.1
GCF 008084905.1|WP 317131659.1
GCF 026870175.2|WP 268846834.1
GCF 004340805.1|WP 311316242.1
GCF 900142615.1|WP 066700516.1
GCF 004296335.1|WP 130613881.1
GCF 900129015.1|WP 073042361.1
GCF 000374545.1|WP 018702245.1
GCF 009754905.2|WP 157524907.1
GCF 002911695.1|WP 103664125.1
GCF 003688895.1|WP 121917294.1
GCF 900142975.1|WP 079735110.1
GCF 022410465.1|WP 240100100.1
GCF 006120725.1|WP 317128768.1
GCF 947494415.1|WP 143917996.1
GCF 022008365.1|WP 237604219.1
GCF 009829075.1|WP 159633240.1
GCF 000416985.1|WP 021070656.1
GCF 004337505.1|WP 131449786.1
GCF 005116475.1|WP 136876043.1
GCF 003664035.1|WP 121287310.1
GCF 900113525.1|WP 245768004.1
GCF 000427965.1|WP 245586355.1
GCF 004354365.1|WP 207924558.1
GCF 002355435.1|WP 232010852.1
GCF 003432065.1|WP 117383705.1
GCF 001592965.1|WP 068219483.1
GCF 004343705.1|WP 131851406.1
GCF 009711525.1|WP 155188567.1
GCF 015476655.1|WP 317174590.1
GCF 000390185.1|WP 010852555.1
GCF 007991655.1|WP 147201530.1
GCF 030506285.1|WP 302255720.1
GCF 900106985.1|WP 092723640.1
GCF 001442625.1|WP 057933003.1
GCF 030244015.1|WP 285058497.1
GCF 005925345.1|WP 246073531.1
GCF 022200785.1|WP 238415340.1
GCF 007830055.1|WP 144886637.1
GCF 000178975.2|WP 013579160.1
GCF 003386095.1|WP 317127702.1
GCF 003589925.1|WP 119755960.1
GCF 030250085.1|WP 289233392.1
GCF 003313335.1|WP 237088268.1
GCF 005925345.1|WP 317130725.1
GCF 013283875.1|WP 237073745.1
GCF 012926615.1|WP 169685101.1
GCF 026241165.1|WP 266054960.1
GCF 016623585.1|WP 200584863.1
GCF 000190735.1|WP 245546850.1
GCF 000374125.1|WP 018626067.1
GCF 004361915.1|WP 133473352.1
GCF 018598585.1|WP 254155607.1
GCF 018598225.1|WP 254168063.1
GCF 000236705.1|WP 014201122.1
GCF 000218485.1|WP 010523333.1
GCF 017872935.1|WP 232301578.1
GCF 000759025.1|WP 044216284.1
GCF 010448835.1|WP 203532581.1
GCF 002843385.1|WP 101308412.1
GCF 003259505.1|WP 317046700.1
GCF 000238215.1|WP 014224020.1
GCF 014644335.1|WP 094257680.1
GCF 000737705.1|WP 034709570.1
GCF 021183825.1|WP 233031184.1
GCF 021032705.1|WP 230934836.1
GCF 000769915.1|WP 035135859.1
GCF 000633455.1|WP 240183003.1
GCF 003432115.1|WP 117392930.1
GCF 006159205.1|WP 139065873.1
GCF 000423065.1|WP 026934769.1
GCF 004362805.1|WP 133553964.1
GCF 027111275.1|WP 349293762.1
GCF 027111315.2|WP 281298372.1
GCF 020985365.1|WP 218248604.1
GCF 014610845.1|WP 188314504.1
GCF 025909975.1|WP 264369843.1
GCF 003449015.1|WP 117880637.1
GCF 011066545.1|WP 164994547.1
GCF 022968825.1|WP 343217666.1
GCF 003014535.1|WP 106523248.1
GCF 004337505.1|WP 131448582.1
GCF 008386635.1|WP 317131725.1
GCF 020552705.1|WP 229336967.1
GCF 003584165.1|WP 119639043.1
GCF 024808255.1|WP 259096049.1
GCF 002797815.1|WP 100342345.1
GCF 020149915.1|WP 240525683.1
GCF 013377885.1|WP 176909316.1
GCF 023499215.1|WP 249600881.1
GCF 003095375.1|WP 317045967.1
GCF 000060345.1|WP 011708445.1
GCF 000169175.1|WP 002701157.1
GCF 014195535.1|WP 229601432.1
GCF 019343195.1|WP 219292997.1
GCF 022631375.1|WP 338423759.1
GCF 004355185.1|WP 317128417.1
GCF 001592965.1|WP 317038745.1
GCF 030506285.1|WP 302253627.1
GCF 001644645.1|WP 066405623.1
GCF 003555545.1|WP 119048743.1
GCF 003332885.2|WP 114234470.1
GCF 900129295.1|WP 072837031.1
GCF 004745955.1|WP 135496422.1
GCF 001870735.1|WP 071505873.1
GCF 900111145.1|WP 090259919.1
GCF 004355185.1|WP 317128443.1
GCF 000373265.1|WP 322786340.1
GCF 008727925.1|WP 150903852.1
GCF 008727925.1|WP 150904508.1
GCF 007991635.1|WP 146895016.1
GCF 009931655.1|WP 317164381.1
GCF 002287075.1|WP 095605749.1
GCF 016623615.1|WP 200504125.1
GCF 900188325.1|WP 089355447.1
GCF 009711475.1|WP 343030487.1
GCF 004167665.1|WP 129922976.1
GCF 900100765.1|WP 317042789.1
GCF 014332515.1|WP 187262466.1
GCF 008629685.1|WP 317133190.1
GCF 900176045.1|WP 331713045.1
GCF 000487995.2|WP 023275958.1
GCF 003670275.1|WP 121727437.1
GCF 003364265.1|WP 181882266.1
GCF 000379025.1|WP 018249116.1
GCF 002934445.1|WP 262497514.1
GCF 003688895.1|WP 121918646.1
GCF 001653755.1|WP 035327871.1
GCF 003254015.1|WP 015362816.1
GCF 900102055.1|WP 093144655.1
GCF 007997225.1|WP 223270669.1
GCF 003025005.1|WP 107039073.1
GCF 000190735.1|WP 013632272.1
GCF 002013915.1|WP 078347122.1
GCF 003002875.1|WP 106292630.1
GCF 014642175.1|WP 188627386.1
GCF 900168015.1|WP 079701758.1
GCF 900109575.1|WP 093324080.1
GCF 014642075.1|WP 188753701.1
GCF 900112315.1|WP 090974456.1
GCF 025460835.1|WP 262249505.1
GCF 003259525.1|WP 245907570.1
GCF 000685015.1|WP 084161718.1
GCF 015356755.1|WP 194851242.1
GCF 002078605.1|WP 081209243.1
GCF 004310325.1|WP 317127925.1
GCF 004115975.1|WP 129017862.1
GCF 029193885.1|WP 275614765.1
GCF 004349195.1|WP 317126113.1
GCF 000429125.1|WP 245574887.1
GCF 018390535.1|WP 117710499.1
GCF 000147715.2|WP 014730852.1
GCF 001270965.1|WP 082326403.1
GCF 001644645.1|WP 066406106.1
GCF 900129015.1|WP 073044072.1
GCF 001592935.1|WP 068412598.1
GCF 015210005.1|WP 196934937.1
GCF 020328055.1|WP 255647312.1
GCF 000425145.1|WP 026904615.1
GCF 003432065.1|WP 117384968.1
GCF 016757215.1|WP 202242982.1
GCF 900142205.1|WP 073125253.1
GCF 001747105.1|WP 069835222.1
GCF 001592965.1|WP 068219711.1
GCF 011059105.1|WP 165269739.1
GCF 900182705.1|WP 142456235.1
GCF 008124865.1|WP 148898860.1
GCF 900101895.1|WP 211516817.1
GCF 011059145.1|WP 165141938.1
GCF 011059105.1|WP 165266908.1
GCF 000375465.1|WP 018126187.1
GCF 005937185.1|WP 138835819.1
GCF 003688895.1|WP 201739436.1
GCF 003259375.1|WP 111623757.1
GCF 010686655.1|WP 163285939.1
GCF 011762485.1|WP 166966924.1
GCF 014646675.1|WP 229714383.1
GCF 000423065.1|WP 340139843.1
GCF 014651475.1|WP 027884046.1
GCF 003001695.1|WP 313790298.1
GCF 002807055.1|WP 239970652.1
GCF 014596945.1|WP 223154637.1
GCF 022662535.1|WP 242177276.1
GCF 004341235.1|WP 132218250.1
GCF 020310025.1|WP 225598491.1
GCF 016734785.1|WP 202027755.1
GCF 004210305.1|WP 130153582.1
GCF 003350455.1|WP 114833709.1
GCF 900188325.1|WP 221406682.1
GCF 900115115.1|WP 317040947.1
GCF 900108395.1|WP 317039283.1
GCF 009711525.1|WP 155186496.1
GCF 900103545.1|WP 090706924.1
GCF 014287545.1|WP 233567318.1
GCF 900103545.1|WP 090697411.1
GCF 900289045.1|WP 105186884.1
GCF 004363775.1|WP 133618788.1
GCF 001270965.1|WP 053178607.1
GCF 023156195.1|WP 248074292.1
GCF 003966335.1|WP 317126817.1
GCF 000425305.1|WP 281168562.1
GCF 000378765.1|WP 019037913.1
GCF 900106795.1|WP 262481116.1
GCF 000425425.1|WP 316930434.1
GCF 000952855.1|WP 084709009.1
GCF 003254015.1|WP 041566823.1
GCF 003054265.1|WP 317046659.1
GCF 010500845.1|WP 163635987.1
GCF 017068455.1|WP 205722236.1
GCF 012911605.1|WP 169524376.1
GCF 011799835.1|WP 206082171.1
GCF 000422685.1|WP 342662433.1
GCF 015356755.1|WP 194852160.1
GCF 020164595.1|WP 224460068.1
GCF 016827605.1|WP 317194163.1
GCF 015356755.1|WP 194850504.1
GCF 002934445.1|WP 104515590.1
GCF 022012475.1|WP 255727817.1
GCF 002287075.1|WP 217988363.1
GCF 000024825.1|WP 081441198.1
GCF 025685565.1|WP 263375709.1
GCF 001697225.1|WP 202816375.1
GCF 007741515.1|WP 145063104.1
GCF 016552165.1|WP 201274885.1
GCF 004101785.1|WP 128425148.1
GCF 020905415.1|WP 336245912.1
GCF 000375465.1|WP 018128613.1
GCF 000020525.1|WP 012500586.1
GCF 022026155.1|WP 237888469.1
GCF 000021945.1|WP 332248135.1
GCF 000468535.1|WP 036729176.1
GCF 021057185.1|WP 231176329.1
GCF 000190575.1|WP 013618754.1
GCF 000242635.2|WP 014681380.1
GCF 004337505.1|WP 131450256.1
GCF 004366815.1|WP 133958136.1
GCF 943193205.1|WP 251214167.1
GCF 000236035.1|WP 208854502.1
GCF 015694525.1|WP 196293389.1
GCF 004745865.1|WP 342588280.1
GCF 000146505.1|WP 233138400.1
GCF 002259795.1|WP 211277117.1
GCF 014737315.1|WP 191016228.1
GCF 000146345.1|WP 050748275.1
GCF 003363715.1|WP 115498840.1
GCF 902386925.1|WP 197735963.1
GCF 000711955.1|WP 029920517.1
GCF 001654455.1|WP 067761754.1
GCF 003052265.1|WP 206362946.1
GCF 943192945.1|WP 251183205.1
GCF 007713685.1|WP 144852010.1
GCF 015558405.1|WP 195579963.1
GCF 000419585.1|WP 211214088.1
GCF 002554705.1|WP 217992481.1
GCF 011174675.1|WP 166365570.1
GCF 000758765.1|WP 037328431.1
GCF 943193005.1|WP 251548509.1
GCF 000934755.1|WP 198146040.1
GCF 018704065.1|WP 289510135.1
GCF 009762775.1|WP 158869708.1
GCF 009754905.2|WP 157525227.1
GCF 022953055.1|WP 245130512.1
GCF 014773265.1|WP 317174314.1
GCF 004799345.1|WP 136334762.1
GCF 000190735.1|WP 013633369.1
GCF 000348925.1|WP 009195637.1
GCF 014641495.1|WP 188666712.1
GCF 002205635.1|WP 088472973.1
GCF 003410055.1|WP 342766690.1
GCF 000312425.1|WP 020696420.1
GCF 000685215.1|WP 206741715.1
GCF 002749615.1|WP 099623174.1
GCF 014652915.1|WP 308434501.1
GCF 014652915.1|WP 308434494.1
GCF 014191545.1|WP 222877609.1
GCF 000423805.1|WP 028794132.1
GCF 001305515.1|WP 054357908.1
GCF 024809475.1|WP 259212723.1
GCF 000314675.2|WP 006019844.1
GCF 003633955.1|WP 237740195.1
GCF 000412185.1|WP 027068248.1
GCF 008711285.1|WP 150493979.1
GCF 016801025.1|WP 203065239.1
GCF 000689395.1|WP 043950795.1
GCF 000168975.1|WP 006932723.1
GCF 003129465.1|WP 341533237.1
GCF 025961205.1|WP 264664379.1
GCF 001028625.1|WP 047805344.1
GCF 900177405.1|WP 085218594.1
GCF 018286635.1|WP 212609717.1
GCF 000496075.1|WP 023431463.1
GCF 003004785.1|WP 342587875.1
GCF 020866965.1|WP 230530341.1
GCF 002532075.1|WP 097652239.1
GCF 000804505.1|WP 011271370.1
GCF 028748065.1|WP 274491831.1
GCF 004208635.1|WP 130109155.1
GCF 016446285.1|WP 199263521.1
GCF 016446285.1|WP 199261480.1
GCF 013404595.1|WP 179381017.1
GCF 001402875.1|WP 055038384.1
GCF 030159935.1|WP 284368957.1
GCF 014640905.1|WP 160588279.1
GCF 000226315.1|WP 041793784.1
GCF 003332305.1|WP 114188086.1
GCF 021184025.1|WP 233026225.1
GCF 003351345.1|WP 114829043.1
GCF 014652695.1|WP 233354082.1
GCF 000261645.1|WP 050995073.1
GCF 000344805.1|WP 015669892.1
GCF 003182595.1|WP 110022309.1
GCF 017498485.1|WP 207971671.1
GCF 022410465.1|WP 255749922.1
GCF 003254525.1|WP 111276046.1
GCF 014274465.1|WP 251106675.1
GCF 019800005.1|WP 223861627.1
GCF 002973605.1|WP 106380689.1
GCF 011762045.1|WP 166930776.1
GCF 014189415.1|WP 244628436.1
GCF 001440385.1|WP 245322903.1
GCF 001618175.1|WP 084462506.1
GCF 014206845.1|WP 245420662.1
GCF 900104305.1|WP 046480405.1
GCF 002288285.1|WP 174703644.1
GCF 018282095.1|WP 075699995.1
GCF 000428525.1|WP 026942656.1
GCF 000428525.1|WP 026941933.1
GCF 009792355.1|WP 228445838.1
GCF 019402665.1|WP 219679171.1
GCF 016772415.1|WP 215339787.1
GCF 014199685.1|WP 184063428.1
GCF 014643455.1|WP 188761991.1
GCF 014652915.1|WP 308434495.1
GCF 026130545.1|WP 282586668.1
GCF 014198875.1|WP 170035220.1
GCF 002894645.1|WP 103019810.1
GCF 007748035.1|WP 145245211.1
GCF 003550175.1|WP 119062368.1
GCF 025685565.1|WP 263374778.1
GCF 000022565.1|WP 015895967.1
GCF 025685425.1|WP 263417360.1
GCF 002257665.1|WP 094550770.1
GCF 002257665.1|WP 094545176.1
GCF 008039615.1|WP 331461697.1
GCF 002287075.1|WP 095606889.1
GCF 025685415.1|WP 263413972.1
GCF 900188085.1|WP 245817768.1
GCF 004341915.1|WP 064736169.1
GCF 025685565.1|WP 263373145.1
GCF 000265425.1|WP 014787304.1
GCF 025685395.1|WP 263411001.1
GCF 025685645.1|WP 263366126.1
GCF 003284725.1|WP 112146810.1
GCF 014198875.1|WP 170038799.1
GCF 030159095.1|WP 284352132.1
GCF 007556775.1|WP 143878997.1
GCF 013003985.1|WP 171165003.1
GCF 003131205.1|WP 109485528.1
GCF 025264625.1|WP 260795653.1
GCF 025264625.1|WP 260794845.1
GCF 025685645.1|WP 263368773.1
GCF 002000055.1|WP 077410016.1
GCF 014196455.1|WP 246410043.1
GCF 011682045.1|WP 229422016.1
GCF 024753145.1|WP 258811274.1
GCF 000427785.1|WP 229413120.1
GCF 030159895.1|WP 284365973.1
GCF 019703875.1|WP 318840549.1
GCF 001584205.1|WP 061534517.1
GCF 013306565.1|WP 173953728.1
GCF 014904795.1|WP 226886867.1
GCF 014673495.1|WP 037653685.1
GCF 000428525.1|WP 026942452.1
GCF 026344005.1|WP 323180571.1
GCF 000093025.1|WP 013149237.1
GCF 000314675.2|WP 006021938.1
GCF 014641495.1|WP 188664626.1
GCF 000143145.1|WP 013216247.1
GCF 000024085.1|WP 015780735.1
GCF 019930585.1|WP 223798374.1
GCF 002288825.1|WP 095998869.1
GCF 000423805.1|WP 028795184.1
GCF 009755815.1|WP 157216527.1
GCF 019880555.1|WP 223029049.1
GCF 022012415.1|WP 349291739.1
GCF 022012415.1|WP 237867989.1
GCF 001758465.1|WP 070176770.1
GCF 003353065.1|WP 240644814.1
GCF 003350205.1|WP 114816546.1
GCF 003367235.1|WP 115549905.1
GCF 009827575.1|WP 160617603.1
GCF 000428765.1|WP 029086534.1
GCF 001886695.1|WP 206539546.1
GCF 002205635.1|WP 336579903.1
GCF 000423185.1|WP 245579173.1
GCF 023702635.1|WP 251086666.1
GCF 019931215.1|WP 223422882.1
GCF 009769755.1|WP 160353799.1
GCF 010587385.1|WP 164649318.1
GCF 900177715.1|WP 086437793.1
GCF 001956315.1|WP 076072997.1
GCF 009753715.1|WP 157027706.1
GCF 026013415.1|WP 264941302.1
GCF 014639875.1|WP 188514207.1
GCF 001748245.1|WP 141730982.1
GCF 014274465.1|WP 186743147.1
GCF 900188085.1|WP 245818002.1
GCF 001449115.1|WP 058189204.1
GCF 003330725.1|WP 201758983.1
GCF 014651515.1|WP 189402625.1
GCF 011059145.1|WP 165143194.1
GCF 004123295.1|WP 204520153.1
GCF 003428625.2|WP 117299046.1
GCF 000412185.1|WP 022696989.1
GCF 030160095.1|WP 343214687.1
GCF 000531125.1|WP 034431409.1
GCF 014651915.1|WP 189572861.1
GCF 014395425.1|WP 343044063.1
GCF 003399445.1|WP 116391911.1
GCF 014191715.1|WP 183411560.1
GCF 000711795.1|WP 038175064.1
GCF 002157895.1|WP 227875125.1
GCF 900115755.1|WP 245751240.1
GCF 005116665.1|WP 229359890.1
GCF 900128975.1|WP 046133685.1
GCF 000971295.1|WP 046139937.1
GCF 000427385.1|WP 084161905.1
GCF 902806695.1|WP 174624457.1
GCF 019880555.1|WP 223030408.1
GCF 009827455.1|WP 328598428.1
GCF 003382365.1|WP 115857826.1
GCF 009755585.1|WP 157029376.1
GCF 009828935.2|WP 343125125.1
GCF 009760915.1|WP 157272173.1
GCF 017939625.1|WP 342345543.1
GCF 001641755.2|WP 231745194.1
GCF 009746125.1|WP 162527539.1
GCF 014284235.1|WP 186902438.1
GCF 004358105.1|WP 227544697.1
GCF 014145325.1|WP 343064776.1
GCF 004322705.1|WP 131150509.1
GCF 004118375.1|WP 218938717.1
GCF 900177655.1|WP 342068306.1
GCF 013744875.1|WP 244976075.1
GCF 015477355.1|WP 195106252.1
GCF 000466985.1|WP 021697582.1
GCF 025000125.1|WP 259550849.1
GCF 014836405.1|WP 191744668.1
GCF 000423805.1|WP 084618722.1
GCF 900188055.1|WP 322111175.1
GCF 003015185.1|WP 106892757.1
GCF 025136295.1|WP 311195699.1
GCF 000425625.1|WP 201768370.1
GCF 900104485.1|WP 090875007.1
GCF 004359955.1|WP 133511101.1
GCF 002903165.1|WP 104737129.1
GCF 004000605.1|WP 127568348.1
GCF 001650715.1|WP 245651278.1
GCF 013370205.1|WP 225871495.1
GCF 003634045.1|WP 121209599.1
GCF 007830035.1|WP 338419614.1
GCF 014639075.1|WP 188452754.1
GCF 014042355.1|WP 229218358.1
GCF 009388985.1|WP 152660768.1
GCF 000091785.1|WP 012979004.1
GCF 009792355.1|WP 158765224.1
GCF 000428525.1|WP 084169039.1
GCF 000428525.1|WP 084168997.1
GCF 013626205.1|WP 181337813.1
GCF 900215535.1|WP 097120259.1
GCF 010093345.1|WP 343037866.1
GCF 014641655.1|WP 188642109.1
GCF 002288285.1|WP 081490909.1
GCF 007097155.1|WP 144237437.1
GCF 009363895.1|WP 114227969.1
GCF 000768345.1|WP 332248765.1
GCF 022664465.1|WP 339328525.1
GCF 003096275.1|WP 116468115.1
GCF 019857185.1|WP 222824163.1
GCF 009827435.1|WP 159793137.1
GCF 002197665.1|WP 088331123.1
GCF 001235865.1|WP 050599460.1
GCF 003967075.1|WP 066699832.1
GCF 001981525.1|WP 076743994.1
GCF 000420645.1|WP 366511660.1
GCF 900445245.1|WP 034293431.1
GCF 012035195.1|WP 239024591.1
GCF 003550065.1|WP 342768480.1
GCF 003550065.1|WP 342768473.1
GCF 014653575.1|WP 189674848.1
GCF 003034225.1|WP 245896773.1
GCF 001406035.1|WP 055116425.1
GCF 000168975.1|WP 040440488.1
GCF 000183745.1|WP 013458417.1
GCF 000365025.1|WP 017932237.1
GCF 002943755.1|WP 104813038.1
GCF 001402875.1|WP 335338144.1
GCF 003046185.1|WP 108174802.1
GCF 001550065.1|WP 068148764.1
GCF 000144605.1|WP 013268247.1
GCF 023487995.1|WP 249580698.1
GCF 005887635.2|WP 239031821.1
GCF 003940805.1|WP 245990230.1
GCF 015679265.1|WP 196103610.1
GCF 900454465.1|WP 342210621.1
GCF 003056355.1|WP 108459497.1
GCF 004000605.1|WP 127567507.1
GCF 000376805.1|WP 018146725.1
GCF 000382325.1|WP 019961042.1
GCF 004331955.1|WP 131615147.1
GCF 002915195.1|WP 103584239.1
GCF 000422965.1|WP 026793217.1
GCF 024347675.1|WP 315972706.1
GCF 020618775.1|WP 227319470.1
GCF 017742995.1|WP 209054260.1
GCF 900128975.1|WP 342021276.1
GCF 003234965.1|WP 111196494.1
GCF 005871165.1|WP 138513362.1
GCF 002105465.1|WP 085338571.1
GCF 027922325.1|WP 271202129.1
GCF 023006325.1|WP 247120176.1
GCF 900142295.1|WP 245794382.1
GCF 002094885.1|WP 084861022.1
GCF 003054175.1|WP 244641059.1
GCF 002937115.1|WP 204848165.1
GCF 000023785.1|WP 015827204.1
GCF 900168195.1|WP 342060157.1
GCF 017347565.1|WP 342345229.1
GCF 004217555.1|WP 130421926.1
GCF 007995015.1|WP 147014347.1
GCF 900104485.1|WP 090878429.1
GCF 014199685.1|WP 341534237.1
GCF 014643455.1|WP 207792565.1
GCF 021655555.1|WP 236987187.1
GCF 003730275.1|WP 123287565.1
GCF 013240295.1|WP 173189964.1
GCF 011762095.1|WP 167094898.1
GCF 000262405.1|WP 245273078.1
GCF 000372845.1|WP 342446753.1
GCF 001653715.1|WP 048433014.1
GCF 014196925.1|WP 183316411.1
GCF 002858925.1|WP 101717236.1
GCF 001375595.1|WP 091741727.1
GCF 000376805.1|WP 018148702.1
GCF 002943565.1|WP 243396338.1
GCF 900104485.1|WP 090874664.1
GCF 003254505.1|WP 165837281.1
GCF 010977555.1|WP 188916221.1
GCF 017086445.1|WP 205680869.1
GCF 003934285.1|WP 125256195.1
GCF 003350205.1|WP 114816888.1
GCF 000143145.1|WP 013214332.1
GCF 001723295.1|WP 069624017.1
GCF 003574735.1|WP 284735810.1
GCF 003574735.1|WP 119302460.1
GCF 003367395.1|WP 115693670.1
GCF 000969415.1|WP 244466999.1
GCF 013752735.1|WP 225894938.1
GCF 003094615.1|WP 208866863.1
GCF 000429865.1|WP 342667635.1
GCF 013004005.1|WP 014131441.1
GCF 003056345.1|WP 108395658.1
GCF 013488225.1|WP 180939823.1
GCF 000365025.1|WP 026147831.1
GCF 002284535.1|WP 095519961.1
GCF 014200015.1|WP 183261672.1
GCF 013266695.1|WP 172888574.1
GCF 016411825.1|WP 198877804.1
GCF 001418225.1|WP 055456708.1
GCF 004354915.1|WP 133283847.1
GCF 900182805.1|WP 341873536.1
GCF 002906165.1|WP 328590053.1
GCF 003254705.1|WP 111516107.1
GCF 003634045.1|WP 170150482.1
GCF 003015125.1|WP 227878865.1
GCF 003544895.1|WP 118943386.1
GCF 009806145.1|WP 135944341.1
GCF 004331955.1|WP 210215696.1
GCF 004519335.1|WP 134761165.1
GCF 013839525.1|WP 181706763.1
GCF 003576345.1|WP 119380676.1
GCF 000743575.1|WP 051960293.1
GCF 900108245.1|WP 342210575.1
GCF 000689395.1|WP 122381330.1
GCF 001650635.1|WP 245644288.1
GCF 000218565.1|WP 013913286.1
GCF 002798435.1|WP 109794015.1
GCF 020618775.1|WP 227319781.1
GCF 004295345.1|WP 242620311.1
GCF 000346615.1|WP 017732998.1
GCF 003610785.1|WP 120331021.1
GCF 020010925.1|WP 060880537.1
GCF 003634705.1|WP 147449534.1
GCF 019957155.1|WP 223417631.1
GCF 009755805.1|WP 157175174.1
GCF 003431825.1|WP 117353594.1
GCF 000685295.1|WP 051624825.1
GCF 014641735.1|WP 229664427.1
GCF 014199625.1|WP 184111165.1
GCF 007995095.1|WP 147123796.1
GCF 017498565.1|WP 207990653.1
GCF 009720245.1|WP 155263845.1
GCF 012035195.1|WP 338057302.1
GCF 014196055.1|WP 183613072.1
GCF 015074805.1|WP 235600919.1
GCF 900128895.1|WP 275425806.1
GCF 003355455.1|WP 115417081.1
GCF 000682695.1|WP 241765633.1
GCF 003576245.1|WP 119452268.1
GCF 004519335.1|WP 134759879.1
GCF 017795365.1|WP 273239780.1
GCF 000023785.1|WP 233356750.1
GCF 024505085.1|WP 256620372.1
GCF 000376805.1|WP 018147994.1
GCF 900142725.1|WP 073012666.1
GCF 003634015.1|WP 121099507.1
GCF 005871165.1|WP 138512283.1
GCF 014640615.1|WP 188826023.1
GCF 000374465.1|WP 018688111.1
GCF 008630495.1|WP 150023006.1
GCF 000733125.1|WP 031550577.1
GCF 003970735.1|WP 109758840.1
GCF 011290545.1|WP 166187239.1
GCF 013266695.1|WP 172887069.1
GCF 001418225.1|WP 055453963.1
GCF 003351345.1|WP 114827758.1
GCF 000342165.1|WP 276510584.1
GCF 900199215.1|WP 089410692.1
GCF 000342165.1|WP 008601950.1
GCF 030506325.1|WP 302207365.1
GCF 002937075.1|WP 338052994.1
GCF 014196055.1|WP 183611407.1
GCF 009827295.1|WP 160659846.1
GCF 015694345.1|WP 196277114.1
GCF 002155305.1|WP 068865682.1
GCF 000013325.1|WP 041550149.1
GCF 000802385.1|WP 039094171.1
GCF 016464365.1|WP 199555383.1
GCF 001598355.1|WP 084238541.1
GCF 009827455.1|WP 160614102.1
GCF 007954425.1|WP 147089483.1
GCF 003201955.1|WP 110299951.1
GCF 003355455.1|WP 369692571.1
GCF 014653575.1|WP 308435291.1
GCF 025370095.1|WP 187762447.1
GCF 003050705.1|WP 244185147.1
GCF 019351405.1|WP 219238964.1
GCF 023674425.1|WP 250751498.1
GCF 011762125.1|WP 166945145.1
GCF 004564275.1|WP 135087174.1
GCF 001598535.1|WP 081570361.1
GCF 002288285.1|WP 017183184.1
GCF 001742225.1|WP 008832238.1
GCF 004005865.1|WP 338068997.1
GCF 013371215.1|WP 176278606.1
GCF 011762125.1|WP 243853493.1
GCF 900143235.1|WP 245790128.1
