GENOME,HOMOLOG
GCF_004102745.1_ASM410274v1,NO
GCF_004103715.1_ASM410371v1,NO
GCF_004121055.1_ASM412105v1,NO
GCF_004339725.1_ASM433972v1,NO
GCF_004340205.1_ASM434020v1,NO
GCF_004359375.1_ASM435937v1,NO
GCF_005890135.1_ASM589013v1,NO
GCF_006376685.1_ASM637668v1,NO
GCF_006385795.1_ASM638579v1,NO
GCF_006539325.1_ASM653932v1,NO
GCF_006539345.1_ASM653934v1,NO
GCF_007991375.1_ASM799137v1,NO
GCF_008086595.1_ASM808659v1,NO
GCF_008086615.1_ASM808661v1,NO
GCF_008107585.1_ASM810758v1,NO
GCF_008245125.1_ASM824512v1,NO
GCF_008365315.1_ASM836531v1,NO
GCF_008632235.1_ASM863223v1,NO
GCF_008694225.1_ASM869422v1,NO
GCF_009866805.1_ASM986680v1,NO
GCF_009909615.1_ASM990961v1,NO
GCF_009914215.1_ASM991421v1,NO
GCF_010131535.1_ASM1013153v1,NO
GCF_010378095.1_ASM1037809v1,NO
GCF_011516735.1_ASM1151673v1,NO
GCF_011516755.1_ASM1151675v1,NO
GCF_011516765.1_ASM1151676v1,NO
GCF_011516825.1_ASM1151682v1,NO
GCF_011516835.1_ASM1151683v1,NO
GCF_011516865.1_ASM1151686v1,NO
GCF_011516875.1_ASM1151687v1,NO
GCF_011516885.1_ASM1151688v1,NO
GCF_011516935.1_ASM1151693v1,NO
GCF_012317185.1_ASM1231718v1,NO
GCF_013267375.1_ASM1326737v1,NO
GCF_013267415.1_ASM1326741v1,NO
GCF_014284475.1_ASM1428447v1,NO
GCF_014337235.1_ASM1433723v1,NO
GCF_016592595.1_ASM1659259v1,NO
GCF_016728825.1_ASM1672882v1,NO
GCF_017052655.1_ASM1705265v1,NO
GCF_017313105.1_ASM1731310v1,YES
GCF_017357865.1_ASM1735786v1,NO
GCF_017377715.1_ASM1737771v1,NO
GCF_017377745.1_ASM1737774v1,NO
GCF_017377855.1_ASM1737785v1,NO
GCF_017874355.1_ASM1787435v1,NO
GCF_018256955.1_ASM1825695v1,NO
GCF_018256975.1_ASM1825697v1,NO
GCF_018853445.1_ASM1885344v1,NO
GCF_019050325.1_ASM1905032v1,NO
GCF_019599335.1_ASM1959933v1,NO
GCF_019968625.1_ASM1996862v1,NO
GCF_020618775.1_ASM2061877v1,YES
GCF_020621385.1_ASM2062138v1,YES
GCF_020892115.1_ASM2089211v1,NO
GCF_021044795.1_ASM2104479v1,NO
GCF_021556475.1_ASM2155647v1,YES
GCF_021733725.1_ASM2173372v1,NO
GCF_022483405.1_ASM2248340v1,NO
GCF_022647505.1_ASM2264750v1,NO
GCF_022807975.1_ASM2280797v1,YES
GCF_022845755.1_ASM2284575v1,NO
GCF_023130475.1_ASM2313047v1,NO
GCF_025149125.1_ASM2514912v1,NO
GCF_025152405.1_ASM2515240v1,NO
GCF_025566905.1_ASM2556690v1,NO
GCF_025685625.1_ASM2568562v1,YES
GCF_025685655.1_ASM2568565v1,NO
GCF_025685685.1_ASM2568568v1,NO
GCF_025821665.1_ASM2582166v1,NO
GCF_025996015.1_ASM2599601v1,NO
GCF_026155355.1_ASM2615535v1,NO
GCF_026240055.1_ASM2624005v1,NO
GCF_029030725.1_ASM2903072v1,YES
GCF_029193885.1_ASM2919388v1,YES
GCF_029194005.1_ASM2919400v1,YES
GCF_900094975.1_IMG-taxon_2617270721_annotated_assembly,NO
GCF_900095825.1_PRJEB15304,NO
GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly,NO
GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly,NO
GCF_900106585.1_PRJEB16534,NO
GCF_900107215.1_IMG-taxon_2599185146_annotated_assembly,NO
GCF_900111235.1_IMG-taxon_2675903166_annotated_assembly,NO
GCF_900111595.1_IMG-taxon_2606217760_annotated_assembly,NO
GCF_900112085.1_IMG-taxon_2651870361_annotated_assembly,NO
GCF_900112885.1_IMG-taxon_2593339256_annotated_assembly,NO
GCF_900156265.1_IMG-taxon_2681812815_annotated_assembly,YES
GCF_900168025.1_IMG-taxon_2588253727_annotated_assembly,NO
GCF_900235925.1_ABAKI,NO
GCF_900240275.1_PRJEB20106,NO
GCF_900248245.1_Amuris69,NO
GCF_900291475.1_PRJEB23928,NO
GCF_900444665.1_57752_G01,NO
GCF_900496965.1_LMG_3411T,NO
GCF_900496975.1_LMG_30378,NO
GCF_900604315.1_PRJEB25870,NO
GCF_900605005.1_PRJEB25873,NO
GCF_900607225.1_PRJEB27265,NO
GCF_900636675.1_43781_F01,NO
GCF_900660755.1_57792_F01-3,NO
GCF_902381715.1_UHGG_MGYG-HGUT-01440,NO
GCF_902729405.1_GenomeAssemblyPeptococcaceaeBacteriumINE,NO
GCF_902859625.1_LMG_3431,NO
GCF_902859635.1_LMG_26219,NO
GCF_902859705.1_LMG_3458,NO
GCF_902859965.1_LMG_26854,NO
GCF_902860075.1_LMG_26846,NO
GCF_902860115.1_LMG_26841,NO
GCF_902860125.1_LMG_26691,NO
GCF_902860155.1_LMG_1861,NO
GCF_903652925.1_LMG_26857,NO
GCF_940677205.1_DSM6011,NO
GCF_943193215.1_Acetatifactor_sp_nov_DSM110981,NO
GCF_000015025.1_ASM1502v1,NO
GCF_000022565.1_ASM2256v1,YES
GCF_000046845.1_ASM4684v1,NO
GCF_000175195.1_ASM17519v1,NO
GCF_000191145.1_ASM19114v1,NO
GCF_000196795.1_ASM19679v1,NO
GCF_000315465.1_Acti_mass_ACS-171-V-COL2_V1,NO
GCF_000367925.1_Acin_sp_ANC_3994_V1,NO
GCF_000367945.1_Acin_sp_NIPH_809_V1,NO
GCF_000368025.1_Acin_parv_CIP108168_V1,NO
GCF_000368565.1_Acin_gern_CIP_107464_V1,NO
GCF_000368585.1_Acin_vene_CIP_110063_V1,NO
GCF_000368805.1_Acin_john_ANC_3681_V1,NO
GCF_000369005.1_Acin_beij_CIP_110307_V1,NO
GCF_000369885.1_Acin_ursi_NIPH_706_V1,NO
GCF_000374285.1_ASM37428v1,NO
GCF_000374305.1_ASM37430v1,NO
GCF_000374445.1_ASM37444v1,NO
GCF_000381885.1_ASM38188v1,NO
GCF_000413895.1_Acin_rudi_CIP_110305_V1,NO
GCF_000413935.1_Acin_sp_NIPH_2036_V1,NO
GCF_000482865.1_ASM48286v1,NO
GCF_000488215.1_Acin_nect_CIP110549_V2,NO
GCF_000488275.1_Acin_bris_CIP110357_V2,NO
GCF_000647975.1_SOAPdenovo_v1.05,NO
GCF_000671395.1_SOAPdenovo_v1.05,NO
GCF_000687875.1_ASM68787v1,NO
GCF_000718005.1_ASM71800v1,NO
GCF_000739435.1_ASM73943v1,NO
GCF_000745345.1_ASM74534v1,NO
GCF_000759995.1_ASM75999v1,NO
GCF_000801145.1_ASM80114v1,NO
GCF_000816495.1_ASM81649v1,NO
GCF_000949295.1_ASM94929v1,NO
GCF_001307195.1_ASM130719v1,NO
GCF_001605895.1_ASM160589v1,NO
GCF_001678755.1_ASM167875v1,NO
GCF_001682515.1_ASM168251v1,NO
GCF_001696605.3_ASM169660v3,NO
GCF_001704115.1_ASM170411v1,NO
GCF_001704615.3_ASM170461v3,NO
GCF_001707755.1_ASM170775v1,NO
GCF_001747425.1_ASM174742v1,NO
GCF_001940455.1_ASM194045v1,NO
GCF_001941625.1_ASM194162v1,NO
GCF_002055515.1_ASM205551v1,NO
GCF_002135195.1_ASM213519v1,NO
GCF_002135235.1_ASM213523v1,NO
GCF_002157165.1_ASM215716v1,NO
GCF_002165375.2_ASM216537v2,NO
GCF_002174125.1_ASM217412v1,YES
GCF_002233755.1_ASM223375v1,NO
GCF_002234535.1_ASM223453v1,NO
GCF_002245625.1_ASM224562v1,NO
GCF_002285415.1_ASM228541v1,NO
GCF_002285435.1_ASM228543v1,NO
GCF_002370525.2_ASM237052v2,NO
GCF_002591855.1_ASM259185v1,NO
GCF_002847505.1_ASM284750v1,NO
GCF_002934265.1_ASM293426v1,NO
GCF_002995495.1_ASM299549v1,NO
GCF_003024515.2_ASM302451v2,NO
GCF_003024525.3_ASM302452v3,NO
GCF_003101015.1_ASM310101v1,NO
GCF_003182415.1_ASM318241v1,NO
GCF_003258335.1_ASM325833v1,NO
GCF_003289645.1_ASM328964v1,NO
GCF_003323815.1_ASM332381v1,NO
GCF_003581445.1_ASM358144v1,NO
GCF_003611455.1_ASM361145v1,NO
GCF_003611465.1_ASM361146v1,NO
GCF_003611475.1_ASM361147v1,NO
GCF_003663795.1_ASM366379v1,NO
GCF_003664645.1_ASM366464v1,NO
GCF_003721225.1_ASM372122v1,NO
GCF_003751225.1_ASM375122v1,NO
GCF_003999195.1_ASM399919v1,NO
GCF_004208515.1_ASM420851v1,NO
GCF_004331155.1_ASM433115v1,NO
GCF_004345645.1_ASM434564v1,NO
GCF_004346035.1_ASM434603v1,NO
GCF_004348335.1_ASM434833v1,NO
GCF_004349235.1_ASM434923v1,NO
GCF_004362515.1_ASM436251v1,NO
GCF_004519515.1_ASM451951v1,NO
GCF_005047355.1_ASM504735v1,NO
GCF_005281455.1_ASM528145v1,NO
GCF_006352475.1_ASM635247v1,NO
GCF_006716425.1_ASM671642v1,NO
GCF_007993815.1_ASM799381v1,NO
GCF_008085895.1_ASM808589v1,NO
GCF_008121305.1_ASM812130v1,NO
GCF_008632635.1_ASM863263v1,NO
GCF_008693185.1_ASM869318v1,NO
GCF_008867985.1_ASM886798v1,NO
GCF_009557235.1_ASM955723v1,NO
GCF_009662475.1_ASM966247v1,NO
GCF_009687845.1_ASM968784v1,NO
GCF_009687865.1_ASM968786v1,NO
GCF_009687885.1_ASM968788v1,NO
GCF_009707625.1_ASM970762v1,NO
GCF_009745975.1_ASM974597v1,NO
GCF_009884975.1_ASM988497v1,NO
GCF_009914475.1_ASM991447v1,NO
GCF_009939195.1_ASM993919v1,NO
GCF_010646905.1_ASM1064690v1,NO
GCF_010918895.1_ASM1091889v1,NO
GCF_011578045.1_ASM1157804v1,NO
GCF_011578285.1_ASM1157828v1,NO
GCF_012034175.1_ASM1203417v1,NO
GCF_013009345.1_ASM1300934v1,NO
GCF_013122135.1_ASM1312213v1,NO
GCF_013409045.1_ASM1340904v1,NO
GCF_013462805.1_ASM1346280v1,NO
GCF_014196965.1_ASM1419696v1,NO
GCF_014201825.1_ASM1420182v1,NO
GCF_014205085.1_ASM1420508v1,NO
GCF_014208105.1_ASM1420810v1,NO
GCF_014323705.1_ASM1432370v1,NO
GCF_014323725.1_ASM1432372v1,NO
GCF_014635545.1_ASM1463554v1,NO
GCF_014635885.1_ASM1463588v1,NO
GCF_014636095.1_ASM1463609v1,NO
GCF_014648415.1_ASM1464841v1,NO
GCF_014837015.1_ASM1483701v1,NO
GCF_014873935.1_ASM1487393v1,NO
GCF_015627105.1_ASM1562710v1,NO
GCF_015627165.1_ASM1562716v1,NO
GCF_015627215.1_ASM1562721v1,NO
GCF_016064815.1_ASM1606481v1,NO
GCF_016576965.1_ASM1657696v1,NO
GCF_016861975.1_ASM1686197v1,NO
GCF_016862995.1_ASM1686299v1,NO
GCF_016865425.1_ASM1686542v1,NO
GCF_016907695.1_ASM1690769v1,NO
GCF_016918855.1_ASM1691885v1,NO
GCF_017312725.1_ASM1731272v1,NO
GCF_017498585.1_ASM1749858v1,NO
GCF_017573505.1_ASM1757350v1,NO
GCF_018139125.1_ASM1813912v1,NO
GCF_018283645.1_ASM1828364v1,NO
GCF_018324105.1_ASM1832410v1,NO
GCF_018324685.1_ASM1832468v1,NO
GCF_018336855.1_ASM1833685v1,NO
GCF_018409485.1_ASM1840948v1,NO
GCF_018476525.1_ASM1847652v1,NO
GCF_018853465.1_ASM1885346v1,NO
GCF_018853815.1_ASM1885381v1,NO
GCF_019343495.1_ASM1934349v1,NO
GCF_019355975.1_ASM1935597v1,NO
GCF_020844025.1_ASM2084402v1,NO
GCF_022601685.1_ASM2260168v1,NO
GCF_023499985.1_ASM2349998v1,NO
GCF_023824315.1_ASM2382431v1,NO
GCF_023913775.1_ASM2391377v1,NO
GCF_024055725.1_ASM2405572v1,NO
GCF_024055795.1_ASM2405579v1,NO
GCF_024171925.1_ASM2417192v1,NO
GCF_024648845.1_ASM2464884v1,NO
GCF_026344175.1_ASM2634417v1,NO
GCF_028596105.1_ASM2859610v1,NO
GCF_029774155.1_ASM2977415v1,NO
GCF_029887885.2_WCVM_WB5v2,NO
GCF_030160635.1_ASM3016063v1,NO
GCF_030268905.1_ASM3026890v1,NO
GCF_030269445.1_ASM3026944v1,NO
GCF_030417495.1_ASM3041749v1,NO
GCF_900095025.1_IMG-taxon_2671180230_annotated_assembly,NO
GCF_900096895.1_IMG-taxon_2671180219_annotated_assembly,NO
GCF_900096915.1_IMG-taxon_2671180220_annotated_assembly,NO
GCF_900096955.1_IMG-taxon_2671180229_annotated_assembly,NO
GCF_900096995.1_IMG-taxon_2671180233_annotated_assembly,NO
GCF_900101685.1_IMG-taxon_2651870117_annotated_assembly,NO
GCF_900103985.1_IMG-taxon_2667527439_annotated_assembly,NO
GCF_900107285.1_IMG-taxon_2675903034_annotated_assembly,NO
GCF_900107605.1_IMG-taxon_2675903230_annotated_assembly,NO
GCF_900107965.1_IMG-taxon_2667527441_annotated_assembly,NO
GCF_900110255.1_IMG-taxon_2671180039_annotated_assembly,NO
GCF_900111175.1_IMG-taxon_2616644847_annotated_assembly,NO
GCF_900112845.1_IMG-taxon_2667527403_annotated_assembly,NO
GCF_900129125.1_IMG-taxon_2582581264_annotated_assembly,NO
GCF_900142575.1_IMG-taxon_2667527448_annotated_assembly,NO
GCF_900174455.1_NEW_PRJEB5721,NO
GCF_900184935.1_C.lipolyticum_CECT8621_Spades_Prokka,NO
GCF_900188405.1_IMG-taxon_2671180020_annotated_assembly,NO
GCF_900197575.1_IMG-taxon_2690315601_annotated_assembly,NO
GCF_900323515.1_KPC-SM-21,NO
GCF_900444945.1_50450_B01,NO
GCF_900445015.1_55147_H01,NO
GCF_900460625.1_49642_E01,NO
GCF_900618115.1_NCTC10327,NO
GCF_900625095.1_PRJEB29216,NO
GCF_900638385.1_57566_E02,NO
GCF_900638445.1_57675_E01,NO
GCF_900659615.1_LMG29177_FinalContigs.fasta.gz,NO
GCF_900659625.1_LMG29178_FinalContigs.fasta.gz,NO
GCF_901687125.1_Actino_spades,NO
GCF_901764995.1_5970_8_10_v2,YES
GCF_907177275.1_Scock-DSM42063-v1,NO
GCF_910593825.1_SBRY-DSM42138-v2,NO
GCF_000023245.1_ASM2324v1,NO
GCF_000269805.1_ASM26980v1,NO
GCF_000284295.1_ASM28429v1,NO
GCF_000295095.1_ASM29509v1,NO
GCF_000371785.1_ASM37178v1,NO
GCF_000373925.1_ASM37392v1,NO
GCF_000379625.1_ASM37962v1,NO
GCF_000379645.1_ASM37964v1,NO
GCF_000384035.1_ASM38403v1,NO
GCF_000403355.2_Ente_caec_B7_V1,NO
GCF_000422625.1_ASM42262v1,NO
GCF_000425065.1_ASM42506v1,NO
GCF_000429225.1_ASM42922v1,NO
GCF_000429265.1_ASM42926v1,NO
GCF_000473365.1_ASM47336v1,YES
GCF_000478885.1_ASM47888v1,NO
GCF_000494755.1_ASM49475v1,NO
GCF_000504285.1_ASM50428v1,NO
GCF_000518265.1_ASM51826v1,NO
GCF_000603945.1_genome,NO
GCF_000717315.1_ASM71731v1,NO
GCF_000721705.1_ASM72170v1,NO
GCF_000724605.1_ASM72460v1,NO
GCF_000962825.1_ASM96282v1,NO
GCF_001457875.1_Actinomyces_ihumii,NO
GCF_001509495.1_ASM150949v1,NO
GCF_001552175.1_ASM155217v1,NO
GCF_001552195.1_ASM155219v1,NO
GCF_001552215.1_ASM155221v1,NO
GCF_001552235.1_ASM155223v1,NO
GCF_001552635.1_ASM155263v1,NO
GCF_001553565.1_ASM155356v1,NO
GCF_001687305.1_ASM168730v1,NO
GCF_001921205.1_ASM192120v1,NO
GCF_001921215.1_ASM192121v1,NO
GCF_001927245.1_ASM192724v1,NO
GCF_002076915.1_ASM207691v1,NO
GCF_002154335.2_ASM215433v2,NO
GCF_002201475.1_ASM220147v1,NO
GCF_002263515.1_ASM226351v1,NO
GCF_002354875.1_ASM235487v1,NO
GCF_002860725.1_ASM286072v1,NO
GCF_002861525.1_ASM286152v1,NO
GCF_002871975.1_ASM287197v1,NO
GCF_002872015.2_ASM287201v2,NO
GCF_002911665.1_ASM291166v1,NO
GCF_003023845.1_ASM302384v1,YES
GCF_003073115.1_ASM307311v1,NO
GCF_003096675.1_ASM309667v1,NO
GCF_003258595.1_ASM325859v1,NO
GCF_003259845.1_ASM325984v1,NO
GCF_003340495.1_ASM334049v1,YES
GCF_003428695.1_ASM342869v1,NO
GCF_003432485.1_ASM343248v1,NO
GCF_003606385.1_ASM360638v1,NO
GCF_003634705.1_ASM363470v1,NO
GCF_003696215.1_ASM369621v1,NO
GCF_003711105.1_ASM371110v1,NO
GCF_003860075.1_ASM386007v1,NO
GCF_003999975.1_ASM399997v1,NO
GCF_004010955.1_ASM401095v1,NO
GCF_004102025.1_ASM410202v1,NO
GCF_004104015.1_ASM410401v1,NO
GCF_004349215.1_ASM434921v1,NO
GCF_004362215.1_ASM436221v1,NO
GCF_004363075.1_ASM436307v1,NO
GCF_004363095.1_ASM436309v1,NO
GCF_004364325.1_ASM436432v1,NO
GCF_004798665.1_ASM479866v1,NO
GCF_005889715.1_ASM588971v1,NO
GCF_006546835.1_ASM654683v1,NO
GCF_006716765.1_ASM671676v1,NO
GCF_007741515.1_ASM774151v1,YES
GCF_007991475.1_ASM799147v1,NO
GCF_007991635.1_ASM799163v1,YES
GCF_008085905.1_ASM808590v1,NO
GCF_008364845.1_ASM836484v1,NO
GCF_008629685.1_ASM862968v1,YES
GCF_008727925.1_ASM872792v1,YES
GCF_008923185.1_ASM892318v1,NO
GCF_008923205.2_ASM892320v2,NO
GCF_008923365.1_ASM892336v1,NO
GCF_009604375.1_ASM960437v1,NO
GCF_009650215.1_ASM965021v1,NO
GCF_009733595.1_ASM973359v1,NO
GCF_009733795.1_ASM973379v1,NO
GCF_009831215.1_ASM983121v1,NO
GCF_011405655.1_ASM1140565v1,NO
GCF_013177295.1_ASM1317729v1,NO
GCF_013184985.2_ASM1318498v2,NO
GCF_013211575.1_ASM1321157v1,NO
GCF_013370205.1_ASM1337020v1,NO
GCF_013407855.1_ASM1340785v1,NO
GCF_013408175.1_ASM1340817v1,NO
GCF_013409365.1_ASM1340936v1,NO
GCF_013409505.1_ASM1340950v1,NO
GCF_014075995.1_ASM1407599v1,NO
GCF_014138665.1_ASM1413866v1,NO
GCF_014217805.1_ASM1421780v1,NO
GCF_014595995.2_ASM1459599v2,NO
GCF_014648675.1_ASM1464867v1,NO
GCF_014873875.1_ASM1487387v1,NO
GCF_014874055.1_ASM1487405v1,NO
GCF_015355765.1_ASM1535576v1,NO
GCF_015704865.1_ASM1570486v1,NO
GCF_015751755.1_ASM1575175v1,NO
GCF_016127855.1_ASM1612785v1,NO
GCF_016127955.1_ASM1612795v1,NO
GCF_016411865.1_ASM1641186v1,NO
GCF_016464425.1_ASM1646442v1,NO
GCF_016598775.1_ASM1659877v1,NO
GCF_016623615.1_ASM1662361v1,YES
GCF_016785085.1_ASM1678508v1,NO
GCF_016834655.1_ASM1683465v1,NO
GCF_016861995.1_ASM1686199v1,NO
GCF_016862035.1_ASM1686203v1,NO
GCF_016862055.1_ASM1686205v1,NO
GCF_016862075.1_ASM1686207v1,NO
GCF_016862095.1_ASM1686209v1,NO
GCF_016862115.1_ASM1686211v1,NO
GCF_016862155.1_ASM1686215v1,NO
GCF_016862175.1_ASM1686217v1,NO
GCF_016862195.1_ASM1686219v1,NO
GCF_016862215.1_ASM1686221v1,NO
GCF_016862235.1_ASM1686223v1,NO
GCF_016862255.1_ASM1686225v1,NO
GCF_016862275.1_ASM1686227v1,NO
GCF_016862295.1_ASM1686229v1,NO
GCF_016862315.1_ASM1686231v1,NO
GCF_016862375.1_ASM1686237v1,NO
GCF_016862395.1_ASM1686239v1,NO
GCF_016862435.1_ASM1686243v1,NO
GCF_016862455.1_ASM1686245v1,NO
GCF_016862475.1_ASM1686247v1,NO
GCF_017565425.1_ASM1756542v1,NO
GCF_017573465.1_ASM1757346v1,NO
GCF_017573545.1_ASM1757354v1,NO
GCF_017592555.1_ASM1759255v1,NO
GCF_018139625.1_ASM1813962v1,NO
GCF_018139695.1_ASM1813969v1,NO
GCF_018324205.1_ASM1832420v1,NO
GCF_018332655.1_ASM1833265v1,NO
GCF_018332695.1_ASM1833269v1,NO
GCF_018332715.1_ASM1833271v1,NO
GCF_018829635.1_ASM1882963v1,NO
GCF_019175365.1_ASM1917536v1,NO
GCF_019429605.1_ASM1942960v1,NO
GCF_019458805.1_ASM1945880v1,NO
GCF_019710575.1_ASM1971057v1,NO
GCF_021026295.1_ASM2102629v1,NO
GCF_021026375.1_ASM2102637v1,NO
GCF_021556395.1_ASM2155639v1,NO
GCF_022751215.1_ASM2275121v1,NO
GCF_023544465.1_ASM2354446v1,NO
GCF_023717965.1_ASM2371796v1,NO
GCF_024137025.1_ASM2413702v1,NO
GCF_024172125.1_ASM2417212v1,NO
GCF_025165815.1_ASM2516581v1,NO
GCF_028737205.1_ASM2873720v1,NO
GCF_028737215.1_ASM2873721v1,NO
GCF_028737255.1_ASM2873725v1,NO
GCF_028737265.1_ASM2873726v1,NO
GCF_030230305.1_ASM3023030v1,NO
GCF_030253495.1_ASM3025349v1,NO
GCF_030269765.1_ASM3026976v1,NO
GCF_030283145.1_ASM3028314v1,NO
GCF_030709675.1_ASM3070967v1,NO
GCF_900100925.1_IMG-taxon_2634166628_annotated_assembly,NO
GCF_900101095.1_IMG-taxon_2619619027_annotated_assembly,NO
GCF_900103885.1_IMG-taxon_2651870319_annotated_assembly,NO
GCF_900104475.1_IMG-taxon_2619619031_annotated_assembly,NO
GCF_900104725.1_IMG-taxon_2634166338_annotated_assembly,NO
GCF_900104745.1_IMG-taxon_2636416006_annotated_assembly,NO
GCF_900112765.1_IMG-taxon_2619619028_annotated_assembly,NO
GCF_900113015.1_IMG-taxon_2675903218_annotated_assembly,NO
GCF_900113145.1_IMG-taxon_2675903058_annotated_assembly,NO
GCF_900116555.1_IMG-taxon_2616644808_annotated_assembly,NO
GCF_900119695.1_PRJEB17950,NO
GCF_900120245.1_PRJEB17949,NO
GCF_900155435.1_PRJEB18758,NO
GCF_900155595.1_PRJEB18043,NO
GCF_900155605.1_PRJEB18271,NO
GCF_900187855.1_PRJEB20853,NO
GCF_900188005.1_IMG-taxon_2724679777_annotated_assembly,NO
GCF_900188105.1_IMG-taxon_2724679706_annotated_assembly,NO
GCF_900188445.1_IMG-taxon_2700988714_annotated_assembly,NO
GCF_900215205.1_IMG-taxon_2675903134_annotated_assembly,NO
GCF_900323885.1_ASM90032388v1,NO
GCF_900444995.1_50256_F01,NO
GCF_900445005.1_58901_F01,NO
GCF_900445045.1_49888_F01,NO
GCF_900499005.1_PRJEB27979,NO
GCF_900637165.1_49699_G02,NO
GCF_900637295.1_50477_G01,NO
GCF_900637975.1_53550_F01,NO
GCF_900659635.1_LMG30035_FinalContigs.fasta.gz,NO
GCF_902375405.1_MGYG-HGUT-01480,NO
GCF_916050445.1_ERR2764997_bin.10_metaWRAP_v1.1_MAG,NO
GCF_943193125.1_Adlercreutzia_sp_nov2_DSM109821,NO
GCF_943193145.1_Adlercreutzia_sp_nov3_DSM108611,NO
GCF_000160775.2_ASM16077v2,YES
GCF_000218565.1_ASM21856v1,YES
GCF_000265385.1_ASM26538v1,YES
GCF_000300855.1_ASM30085v1,NO
GCF_000308295.2_Ab_34632,NO
GCF_000312105.1_ASM31210v1,NO
GCF_000314675.2_Afip_broo_ATCC_49717_V1,YES
GCF_000336555.1_Afip_clev_ATCC49720_G12581_V1,YES
GCF_000388115.1_Amol1.0,NO
GCF_000400485.1_k0-k1250,NO
GCF_000421525.1_ASM42152v1,NO
GCF_000421545.1_ASM42154v1,NO
GCF_000425105.1_ASM42510v1,NO
GCF_000429125.1_ASM42912v1,NO
GCF_000429145.1_ASM42914v1,YES
GCF_000442985.1_AtP4V1.0,NO
