Assembly Accession	Assembly Name	Assembly Level	Organism Name	CheckM completeness	Assembly Stats Total Sequence Length
GCF_001647695.1	ASM164769v1	Complete Genome	[Haemophilus] ducreyi	96.34	1589620
GCF_000717245.1	ASM71724v1	Contig	[Kitasatospora] papulosa	99.91	7568795
GCF_900240275.1	PRJEB20106	Scaffold	[Lactobacillus] timonensis	99.78	1678325
GCF_001904615.1	ASM190461v1	Scaffold	[Limnothrix rosea] IAM M-220	99.74	4065636
GCF_000007745.1	ASM774v1	Complete Genome	[Mannheimia] succiniciproducens MBEL55E	98.48	2314078
GCF_017313105.1	ASM1731310v1	Scaffold	[Muricauda] lutisoli	99.68	3424164
GCF_019050325.1	ASM1905032v1	Scaffold	[Mycobacterium] fortunisiensis	99.94	5490222
GCF_025821665.1	ASM2582166v1	Scaffold	[Mycobacterium] manitobense	99.59	6058529
GCF_002356335.1	ASM235633v1	Complete Genome	[Mycobacterium] stephanolepidis	98.86	4994485
GCF_003285045.1	ASM328504v1	Complete Genome	[Mycoplasma] anseris	99.48	750009
GCF_006385795.1	ASM638579v1	Contig	[Mycoplasma] falconis	100	672402
GCF_003332325.1	ASM333232v1	Complete Genome	[Mycoplasma] phocae	99.05	814478
GCF_002278035.1	ASM227803v1	Complete Genome	[Ochrobactrum] quorumnocens	90.1	5645291
GCF_003664555.1	ASM366455v1	Contig	[Ochrobactrum] soli	91.37	5024120
GCF_006376685.1	ASM637668v1	Contig	[Ochrobactrum] teleogrylli	92.34	4760804
GCF_022647505.1	ASM2264750v1	Complete Genome	[Pantoea] beijingensis	89.55	4107390
GCF_029030725.1	ASM2903072v1	Complete Genome	[Pseudomonas] carboxydohydrogena	67.93	3271440
GCF_000382065.1	ASM38206v1	Scaffold	[Pseudomonas] hibiscicola ATCC 19867	99.54	4424025
GCF_900607225.1	PRJEB27265	Scaffold	[Pseudopropionibacterium] massiliense	95.43	3476625
GCF_025152405.1	ASM2515240v1	Complete Genome	[Ruminococcus] lactaris ATCC 29176	98.75	2733858
GCF_003470435.1	ASM347043v1	Scaffold	[Ruminococcus] torques	99.38	2959517
GCF_001570905.1	ASM157090v1	Contig	[Zimmermannella] alba NBRC 15616	75.59	2140375
GCF_001570925.1	ASM157092v1	Contig	[Zimmermannella] bifida NBRC 103089	98.16	2127204
GCF_000381765.1	ASM38176v1	Scaffold	[Zimmermannella] faecalis ATCC 13722	97.96	2847348
GCF_002973605.1	ASM297360v1	Contig	Abditibacterium utsteinense	97.65	3606331
GCF_013267415.1	ASM1326741v1	Complete Genome	Abiotrophia defectiva	94.82	2046826
GCF_003725415.1	YH-panp20	Scaffold	Absicoccus porci	96.73	2222132
GCF_022807975.1	ASM2280797v1	Complete Genome	Abyssalbus ytuae	99.68	4365036
GCF_003151135.1	ASM315113v1	Contig	Abyssibacter profundi	95.7	3741513
GCF_001989575.1	ASM198957v1	Complete Genome	Abyssicoccus albus	94.78	1745789
GCF_001559865.1	ASM155986v1	Contig	Abyssisolibacter fermentans	99.03	4786356
GCF_016592595.1	ASM1659259v1	Complete Genome	Abyssogena phaseoliformis symbiont OG214	91.91	1542177
GCF_017377855.1	ASM1737785v1	Contig	Acanthopleuribacter pedis	78.83	10848561
GCF_000376245.1	ASM37624v1	Contig	Acaricomes phytoseiuli DSM 14247	99.08	2419519
GCF_000018105.1	ASM1810v1	Complete Genome	Acaryochloris marina MBIC11017	99.73	8361599
GCF_003231495.1	AcaThom1.0	Scaffold	Acaryochloris thomasi RCC1774	99.46	5931841
GCF_010131535.1	ASM1013153v1	Scaffold	Acerihabitans arboris	100	5644927
GCF_900103835.1	IMG-taxon 2667527408 annotated assembly	Scaffold	Acetanaerobacterium elongatum	99.38	2916215
GCF_943193215.1	Acetatifactor_sp_nov_DSM110981	Contig	Acetatifactor aquisgranensis	98.02	5880648
GCF_900248245.1	Amuris69	Contig	Acetatifactor muris	98.12	6013646
GCF_017357865.1	ASM1735786v1	Complete Genome	Aceticella autotrophica	97.55	2267618
GCF_004359375.1	ASM435937v1	Complete Genome	Acetilactobacillus jinshanensis	91.98	1616430
GCF_900112085.1	IMG-taxon 2651870361 annotated assembly	Scaffold	Acetitomaculum ruminis DSM 5522	97.71	3082721
GCF_000179595.2	ASM17959v2	Scaffold	Acetivibrio cellulolyticus CD2	99.38	6156735
GCF_000237085.1	ASM23708v1	Complete Genome	Acetivibrio clariflavus DSM 19732	98.46	4897678
GCF_001461035.1	ASM146103v1	Scaffold	Acetivibrio ethanolgignens	98.76	3660245
GCF_004102745.1	ASM410274v1	Contig	Acetivibrio mesophilus	98.76	4044838
GCF_002844395.1	ASM284439v1	Complete Genome	Acetivibrio saccincola	98.14	3604547
GCF_026155355.1	ASM2615535v1	Scaffold	Acetivibrio straminisolvens	98.55	4385464
GCF_001692755.1	ASM169275v1	Complete Genome	Acetivibrio thermocellus DSM 2360	98.55	3577579
GCF_900168025.1	IMG-taxon 2588253727 annotated assembly	Scaffold	Acetoanaerobium noterae	99.09	2814227
GCF_017874355.1	ASM1787435v1	Contig	Acetoanaerobium pronyense	99.09	2980298
GCF_000196455.1	ASM19645v1	Complete Genome	Acetoanaerobium sticklandii	99.09	2715461
GCF_000379545.1	ASM37954v1	Scaffold	Acetobacter aceti ATCC 23746	99.8	3690768
GCF_002173775.1	ASM217377v1	Complete Genome	Acetobacter ascendens	98.54	3285832
GCF_001580535.1	ASM158053v1	Contig	Acetobacter cerevisiae	95.57	3088073
GCF_000963925.1	ASM96392v1	Contig	Acetobacter cibinongensis	95.86	3105087
GCF_011516755.1	ASM1151675v1	Contig	Acetobacter conturbans	97.41	3884131
GCF_025996015.1	ASM2599601v1	Contig	Acetobacter estunensis NRIC 0472	95.33	3447192
GCF_022483405.1	ASM2248340v1	Contig	Acetobacter fabarum	93.79	2895799
GCF_011516735.1	ASM1151673v1	Contig	Acetobacter fallax	95.61	4217005
GCF_011516935.1	ASM1151693v1	Contig	Acetobacter farinalis	95.33	2946999
GCF_019599335.1	ASM1959933v1	Contig	Acetobacter garciniae	92.88	3848247
GCF_011516865.1	ASM1151686v1	Contig	Acetobacter ghanensis	94.13	2794032
GCF_002153515.1	ASM215351v1	Contig	Acetobacter indonesiensis	96.52	3191716
GCF_011516885.1	ASM1151688v1	Contig	Acetobacter lambici	94.51	3252368
GCF_011516875.1	ASM1151687v1	Contig	Acetobacter lovaniensis	94.54	3469460
GCF_001580615.1	ASM158061v1	Contig	Acetobacter malorum	96.18	3833476
GCF_011516835.1	ASM1151683v1	Contig	Acetobacter musti	94.69	4713408
GCF_007991375.1	ASM799137v1	Contig	Acetobacter nitrogenifigens DSM 23921 = NBRC 105050	98.91	4241307
GCF_011516825.1	ASM1151682v1	Contig	Acetobacter oeni	95.69	4106074
GCF_018256975.1	ASM1825697v1	Contig	Acetobacter okinawensis	92.58	3110900
GCF_000963965.1	ASM96396v1	Scaffold	Acetobacter orientalis	94.39	2910689
GCF_006539325.1	ASM653932v1	Contig	Acetobacter orleanensis	95.67	2997537
GCF_002220195.1	ASM222019v1	Complete Genome	Acetobacter oryzifermentans	97.55	3127455
GCF_004014775.2	ASM401477v2	Complete Genome	Acetobacter oryzoeni	97.81	3153180
GCF_000613285.1	ASM61328v1	Contig	Acetobacter papayae JCM 25143	61.97	3041080
GCF_009914215.1	ASM991421v1	Complete Genome	Acetobacter pasteurianus		3056995
GCF_006539345.1	ASM653934v1	Contig	Acetobacter peroxydans	91.96	2703456
GCF_018256955.1	ASM1825695v1	Contig	Acetobacter persici	94.8	3505525
GCF_002738225.1	ASM273822v1	Contig	Acetobacter pomorum	96.9	3332116
GCF_017377715.1	ASM1737771v1	Contig	Acetobacter sacchari	97.51	4553202
GCF_001499615.1	Acetobacter senegalensis 108B	Complete Genome	Acetobacter senegalensis	96.33	3969909
GCF_011516765.1	ASM1151676v1	Contig	Acetobacter sicerae	98.94	4033059
GCF_017377745.1	ASM1737774v1	Contig	Acetobacter suratthaniensis	92.36	3088177
GCF_000964225.1	ASM96422v1	Scaffold	Acetobacter syzygii	94.81	2687370
GCF_026240055.1	ASM2624005v1	Contig	Acetobacter thailandicus	91.36	2805005
GCF_001580945.1	ASM158094v1	Contig	Acetobacter tropicalis	96.49	3769631
GCF_008365315.1	ASM836531v1	Complete Genome	Acetobacter vaccinii	92.06	3082251
GCF_900235925.1	ABAKI	Scaffold	Acetobacterium bakii	99.29	4319181
GCF_000472665.1	ASM47266v1	Scaffold	Acetobacterium dehalogenans DSM 11527	99.29	4050072
GCF_014284475.1	ASM1428447v1	Contig	Acetobacterium fimetarium	98.57	3237487
GCF_008086595.1	ASM808659v1	Contig	Acetobacterium paludosum	99.29	3691131
GCF_008086615.1	ASM808661v1	Contig	Acetobacterium tundrae	99.29	3563081
GCF_008107585.1	ASM810758v1	Scaffold	Acetobacterium wieringae	98.57	3606343
GCF_000247605.1	ASM24760v1	Complete Genome	Acetobacterium woodii DSM 1030	100	4044777
GCF_004340205.1	ASM434020v1	Scaffold	Acetobacteroides hydrogenigenes	94.13	3861100
GCF_000144695.1	ASM14469v1	Complete Genome	Acetohalobium arabaticum DSM 5501	99.85	2469596
GCF_000160455.2	ASM16045v2	Contig	Acetomicrobium hydrogeniformans ATCC BAA-1850	99.65	2123925
GCF_000266925.1	ASM26692v1	Complete Genome	Acetomicrobium mobile DSM 13181	99.34	2160700
GCF_900107215.1	IMG-taxon 2599185146 annotated assembly	Scaffold	Acetomicrobium thermoterrenum DSM 13490	99.96	1967584
GCF_000687735.1	ASM68773v1	Contig	Acholeplasma equifetale ATCC 29724	98.91	1282372
GCF_017052655.1	ASM1705265v1	Contig	Acholeplasma equirhinis	98.35	1446424
GCF_000526235.1	ASM52623v1	Contig	Acholeplasma granularum ATCC 19168	98.85	1453539
GCF_900660755.1	57792_F01-3	Complete Genome	Acholeplasma hippikon	99.34	1465667
GCF_003385765.1	ASM338576v1	Scaffold	Acholeplasma laidlawii	99.05	1491638
GCF_000483165.1	ASM48316v1	Scaffold	Acholeplasma multilocale ATCC 49900	89.76	924993
GCF_900444665.1	57752_G01	Contig	Acholeplasma oculi	99.12	1600576
GCF_902859965.1	LMG 26854	Contig	Achromobacter aegrifaciens	98.52	6673981
GCF_009866805.1	ASM986680v1	Contig	Achromobacter aestuarii	79.09	5338205
GCF_900496965.1	LMG 3411T	Contig	Achromobacter agilis	97.08	6376476
GCF_004121055.1	ASM412105v1	Contig	Achromobacter aloeverae	80.33	6492157
GCF_902860125.1	LMG 26691	Contig	Achromobacter animicus	97.05	5933857
GCF_903652925.1	LMG 26857	Contig	Achromobacter anxifer	98.03	7212913
GCF_902859705.1	LMG 3458	Contig	Achromobacter deleyi	97.52	6809508
GCF_013267375.1	ASM1326737v1	Complete Genome	Achromobacter denitrificans	97.52	6736877
GCF_902860115.1	LMG 26841	Contig	Achromobacter dolens	99.1	6216227
GCF_008245125.1	ASM824512v1	Complete Genome	Achromobacter insolitus	98.79	6428890
GCF_902860075.1	LMG 26846	Contig	Achromobacter insuavis	98.39	6876923
GCF_001298955.1	11861_6#29	Scaffold	Achromobacter kerstersii	97.25	6720738
GCF_902859635.1	LMG 26219	Contig	Achromobacter marplatensis	98.91	6885835
GCF_019968625.1	ASM1996862v1	Chromosome	Achromobacter mucicolens	97.41	5887278
GCF_902859625.1	LMG 3431	Contig	Achromobacter pestifer	98.54	6905829
GCF_902860155.1	LMG 1861	Contig	Achromobacter piechaudii	94.96	6172150
GCF_021733725.1	ASM2173372v1	Contig	Achromobacter pulmonis	97.41	6000483
GCF_002082135.1	ASM208213v1	Chromosome	Achromobacter ruhlandii	99.1	6366684
GCF_900636675.1	43781_F01	Complete Genome	Achromobacter spanius	97.52	6407029
GCF_900496975.1	LMG 30378	Contig	Achromobacter veterisilvae	96.89	6814990
GCF_016728825.1	ASM1672882v1	Complete Genome	Achromobacter xylosoxidans	95.68	6901970
GCF_900103005.1	IMG-taxon 2599185234 annotated assembly	Scaffold	Acidaminobacter hydrogenoformans DSM 2784	99.09	3615609
GCF_000025305.1	ASM2530v1	Complete Genome	Acidaminococcus fermentans DSM 20731	99.58	2329769
GCF_021044795.1	ASM2104479v1	Contig	Acidaminococcus hominis	92.29	2631693
GCF_902381715.1	UHGG_MGYG-HGUT-01440	Chromosome	Acidaminococcus intestini	95.21	2287856
GCF_900095825.1	PRJEB15304	Scaffold	Acidaminococcus massiliensis	94.45	2669996
GCF_900291475.1	PRJEB23928	Contig	Acidaminococcus provencensis	92.16	2605487
GCF_900106585.1	PRJEB16534	Contig	Acidaminococcus timonensis	95.66	2297059
GCF_003352165.1	ASM335216v1	Complete Genome	Acidibrevibacterium fodinaquatile	98.96	4037611
GCF_025685625.1	ASM2568562v1	Contig	Acidicapsa acidisoli	98.17	7113555
GCF_025685685.1	ASM2568568v1	Contig	Acidicapsa dinghuensis	97.29	6171897
GCF_025685655.1	ASM2568565v1	Contig	Acidicapsa ligni	97.67	5677642
GCF_902729405.1	GenomeAssemblyPeptococcaceaeBacteriumINE	Complete Genome	Acididesulfobacillus acetoxydans	98.39	4520225
GCF_001705075.2	ASM170507v2	Complete Genome	Acidiferrobacter thiooxydans	98.13	3302271
GCF_001753165.1	ASM175316v1	Chromosome	Acidihalobacter aeolianus	94.86	3526118
GCF_001975725.1	ASM197572v1	Chromosome	Acidihalobacter ferrooxydans	92.12	3448835
GCF_000754095.2	ASM75409v2	Contig	Acidihalobacter prosperus	94.88	3359675
GCF_001753245.1	ASM175324v1	Complete Genome	Acidihalobacter yilgarnensis	90.32	3566941
GCF_009909615.1	ASM990961v1	Scaffold	Acidiluteibacter ferrifornacis	89.52	3517574
GCF_004103715.1	ASM410371v1	Complete Genome	Acidilutibacter cellobiosedens	98.99	3743723
GCF_002871005.1	ASM287100v1	Contig	Acidimangrovimonas sediminis	99.71	5284268
GCF_000023265.1	ASM2326v1	Complete Genome	Acidimicrobium ferrooxidans DSM 10331	94.19	2158157
GCF_000701585.1	ASM70158v1	Scaffold	Acidiphilium angustum ATCC 35903	99.47	4175408
GCF_021556475.1	ASM2155647v1	Contig	Acidiphilium iwatense	90.32	4163635
GCF_000202835.1	ASM20283v1	Complete Genome	Acidiphilium multivorum AIU301	99.21	4214744
GCF_900156265.1	IMG-taxon 2681812815 annotated assembly	Scaffold	Acidiphilium rubrum	99.17	3976993
GCF_004339725.1	ASM433972v1	Scaffold	Acidipila rosea	99.87	4213726
GCF_001441165.1	ASM144116v1	Complete Genome	Acidipropionibacterium acidipropionici	96.52	3651382
GCF_005890135.1	ASM589013v1	Complete Genome	Acidipropionibacterium jensenii	95.92	2999408
GCF_000423445.1	ASM42344v1	Scaffold	Acidipropionibacterium thoenii DSM 20276	98.1	2938072
GCF_900605005.1	PRJEB25873	Scaffold	Acidipropionibacterium timonense	95.65	2816509
GCF_003325455.1	ASM332545v1	Complete Genome	Acidipropionibacterium virtanenii	98.7	3432872
GCF_003330725.1	ASM333072v1	Complete Genome	Acidisarcina polymorpha	98.86	7600726
GCF_020621385.1	ASM2062138v1	Contig	Acidisoma cellulosilyticum	99.12	6004381
GCF_020618775.1	ASM2061877v1	Contig	Acidisoma silvae	99.12	5436125
GCF_000964365.1	ASM96436v1	Scaffold	Acidisphaera rubrifaciens HS-AP3	86.66	3862273
GCF_023130475.1	ASM2313047v1	Scaffold	Aciditerrimonas ferrireducens	91.83	2649952
GCF_001931655.1	ASM193165v1	Scaffold	Acidithiobacillus albertensis	94.87	3503318
GCF_008694225.1	ASM869422v1	Chromosome	Acidithiobacillus caldus	95.09	2876631
GCF_018853445.1	ASM1885344v1	Contig	Acidithiobacillus concretivorus	91.91	2799046
GCF_010378095.1	ASM1037809v1	Contig	Acidithiobacillus ferrianus	97.11	3165856
GCF_003966655.1	ASM396665v1	Complete Genome	Acidithiobacillus ferridurans	97.62	2921399
GCF_020844025.1	ASM2084402v1	Complete Genome	Acidithiobacillus ferriphilus	97.16	2539320
GCF_900174455.1	NEW_PRJEB5721	Chromosome	Acidithiobacillus ferrivorans	98.67	3456108
GCF_013462805.1	ASM1346280v1	Complete Genome	Acidithiobacillus ferrooxidans	96.14	3257037
GCF_002847505.1	ASM284750v1	Contig	Acidithiobacillus marinus	94.93	2903611
GCF_018853465.1	ASM1885346v1	Contig	Acidithiobacillus montserratensis	92.73	2833681
GCF_003721225.1	ASM372122v1	Contig	Acidithiobacillus sulfuriphilus	95.33	2816858
GCF_018853815.1	ASM1885381v1	Contig	Acidithiobacillus sulfurivorans	94.52	3232956
GCF_009662475.1	ASM966247v1	Complete Genome	Acidithiobacillus thiooxidans ATCC 19377	96.29	3415726
GCF_000949295.1	ASM94929v1	Contig	Acidithrix ferrooxidans	96.64	4019867
GCF_000022565.1	ASM2256v1	Complete Genome	Acidobacterium capsulatum ATCC 51196	98.56	4127356
GCF_900129125.1	IMG-taxon 2582581264 annotated assembly	Scaffold	Acidocella aminolytica 101 = DSM 11237	99.24	3964820
GCF_030160635.1	ASM3016063v1	Scaffold	Acidocella aquatica	100	4032656
GCF_014201825.1	ASM1420182v1	Contig	Acidocella aromatica	96.17	2877351
GCF_000687875.1	ASM68787v1	Contig	Acidocella facilis ATCC 35904	100	3403931
GCF_004346035.1	ASM434603v1	Contig	Acidomonas methanolica	98.93	3681251
GCF_000015025.1	ASM1502v1	Complete Genome	Acidothermus cellulolyticus 11B	97.76	2443540
GCF_002157165.1	ASM215716v1	Complete Genome	Acidovorax carolinensis	99.61	4058023
GCF_003581445.1	ASM358144v1	Contig	Acidovorax cavernicola	97.59	7038667
GCF_007993815.1	ASM799381v1	Scaffold	Acidovorax delafieldii	99.4	5022177
GCF_023913775.1	ASM2391377v1	Scaffold	Acidovorax facilis	97.77	6424669
GCF_002245625.1	ASM224562v1	Scaffold	Acidovorax kalamii	99.54	5137998
GCF_900107605.1	IMG-taxon 2675903230 annotated assembly	Contig	Acidovorax soli	99.49	4130223
GCF_028596105.1	ASM2859610v1	Complete Genome	Acidovorax temperans	98.72	4730769
GCF_900095025.1	IMG-taxon 2671180230 annotated assembly	Contig	Acinetobacter albensis	99.21	3045904
GCF_023499985.1	ASM2349998v1	Contig	Acinetobacter amyesii	99.51	3454033
GCF_900197575.1	IMG-taxon 2690315601 annotated assembly	Scaffold	Acinetobacter apis	89.76	2413782
GCF_015627105.1	ASM1562710v1	Contig	Acinetobacter baretiae	90.08	2580418
GCF_008632635.1	ASM863263v1	Complete Genome	Acinetobacter baumannii	99.94	3980230
GCF_000046845.1	ASM4684v1	Complete Genome	Acinetobacter baylyi ADP1	99.01	3598621
GCF_000369005.1	Acin_beij_CIP_110307_V1	Scaffold	Acinetobacter beijerinckii CIP 110307	99.96	3563334
GCF_016576965.1	ASM1657696v1	Complete Genome	Acinetobacter bereziniae	98.94	4729151
GCF_000367925.1	Acin_sp_ANC_3994_V1	Scaffold	Acinetobacter bohemicus ANC 3994	99.93	3657694
GCF_900096955.1	IMG-taxon 2671180229 annotated assembly	Contig	Acinetobacter boissieri	90.23	2690205
GCF_018324105.1	ASM1832410v1	Complete Genome	Acinetobacter bouvetii	99.74	3399245
GCF_000488275.1	Acin_bris_CIP110357_V2	Scaffold	Acinetobacter brisouii CIP 110357	97.67	3148512
GCF_002055515.1	ASM205551v1	Complete Genome	Acinetobacter calcoaceticus	98.93	4115994
GCF_001707755.1	ASM170775v1	Contig	Acinetobacter celticus	99.36	3093802
GCF_003664645.1	ASM366464v1	Contig	Acinetobacter chengduensis	99.59	3766665
GCF_002165375.2	ASM216537v2	Complete Genome	Acinetobacter chinensis	99.82	3737289
GCF_000413935.1	Acin_sp_NIPH_2036_V1	Scaffold	Acinetobacter colistiniresistens	99.63	3897684
GCF_014635545.1	ASM1463554v1	Scaffold	Acinetobacter courvalinii	99.89	3939718
GCF_003024525.3	ASM302452v3	Complete Genome	Acinetobacter cumulans	99.63	3710871
GCF_001704615.3	ASM170461v3	Complete Genome	Acinetobacter defluvii	99.5	3812268
GCF_009884975.1	ASM988497v1	Complete Genome	Acinetobacter dispersus	99.49	4024840
GCF_001307195.1	ASM130719v1	Complete Genome	Acinetobacter equi	99.3	3054269
GCF_009707625.1	ASM970762v1	Contig	Acinetobacter faecalis	98.61	2646693
GCF_001678755.1	ASM167875v1	Contig	Acinetobacter gandensis	99.27	3176356
GCF_013009345.1	ASM1300934v1	Scaffold	Acinetobacter geminorum	99.81	3800356
GCF_000368565.1	Acin_gern_CIP_107464_V1	Scaffold	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	99.79	4595172
GCF_003611455.1	ASM361145v1	Contig	Acinetobacter guerrae	99.78	3541242
GCF_002370525.2	ASM237052v2	Complete Genome	Acinetobacter guillouiae	99.16	4648418
GCF_001682515.1	ASM168251v1	Scaffold	Acinetobacter gyllenbergii	99.99	4284915
GCF_003323815.1	ASM332381v1	Complete Genome	Acinetobacter haemolyticus	99.63	3441166
GCF_004208515.1	ASM420851v1	Contig	Acinetobacter halotolerans	99.99	3290698
GCF_000816495.1	ASM81649v1	Scaffold	Acinetobacter harbinensis	97.16	2899785
GCF_900625095.1	PRJEB29216	Scaffold	Acinetobacter ihumii	99.96	3300815
GCF_009914475.1	ASM991447v1	Complete Genome	Acinetobacter indicus	99.92	3084932
GCF_000368805.1	Acin_john_ANC_3681_V1	Scaffold	Acinetobacter johnsonii ANC 3681	99.06	3540498
GCF_018336855.1	ASM1833685v1	Complete Genome	Acinetobacter junii	98.4	3438557
GCF_009939195.1	ASM993919v1	Contig	Acinetobacter kanungonis	99.99	3507903
GCF_900096895.1	IMG-taxon 2671180219 annotated assembly	Scaffold	Acinetobacter kookii	99.67	3085401
GCF_900107285.1	IMG-taxon 2675903034 annotated assembly	Contig	Acinetobacter kyonggiensis	99.78	3714024
GCF_013122135.1	ASM1312213v1	Complete Genome	Acinetobacter lactucae	99.99	3973648
GCF_011578285.1	ASM1157828v1	Complete Genome	Acinetobacter lanii	99.26	3428714
GCF_001704115.1	ASM170411v1	Complete Genome	Acinetobacter larvae	97.68	3741098
GCF_019343495.1	ASM1934349v1	Complete Genome	Acinetobacter lwoffii	95.67	3528101
GCF_900096915.1	IMG-taxon 2671180220 annotated assembly	Contig	Acinetobacter marinus	96.2	2994779
GCF_014636095.1	ASM1463609v1	Scaffold	Acinetobacter modestus	99.07	3546084
GCF_000488215.1	Acin_nect_CIP110549_V2	Scaffold	Acinetobacter nectaris CIP 110549	90.73	2668938
GCF_026344175.1	ASM2634417v1	Contig	Acinetobacter nematophilus	99.37	4360075
GCF_005281455.1	ASM528145v1	Complete Genome	Acinetobacter nosocomialis M2	91.64	3824973
GCF_000196795.1	ASM19679v1	Complete Genome	Acinetobacter oleivorans DR1	99.95	4152543
GCF_000368025.1	Acin_parv_CIP108168_V1	Scaffold	Acinetobacter parvus DSM 16617 = CIP 108168	99.03	2912642
GCF_014837015.1	ASM1483701v1	Scaffold	Acinetobacter pecorum	99.8	3220949
GCF_002233755.1	ASM223375v1	Scaffold	Acinetobacter piscicola	99.56	3576146
GCF_000191145.1	ASM19114v1	Complete Genome	Acinetobacter pittii PHEA-2	97.5	3862530
GCF_015627215.1	ASM1562721v1	Contig	Acinetobacter pollinis	90.98	2664173
GCF_002174125.1	ASM217412v1	Contig	Acinetobacter populi	98.08	3686702
GCF_010646905.1	ASM1064690v1	Contig	Acinetobacter portensis	98.64	3102684
GCF_001605895.1	ASM160589v1	Contig	Acinetobacter pragensis	98.44	3706388
GCF_000367945.1	Acin_sp_NIPH_809_V1	Scaffold	Acinetobacter proteolyticus	99.87	4313783
GCF_029887885.2	WCVM_WB5v2	Contig	Acinetobacter pseudolwoffii	99.63	3087154
GCF_006352475.1	ASM635247v1	Contig	Acinetobacter pullicarnis	99.13	4125062
GCF_900096995.1	IMG-taxon 2671180233 annotated assembly	Scaffold	Acinetobacter puyangensis	98.48	3781219
GCF_008693185.1	ASM869318v1	Contig	Acinetobacter qingfengensis	96.83	3152994
GCF_003258335.1	ASM325833v1	Complete Genome	Acinetobacter radioresistens	99.42	3089777
GCF_015627165.1	ASM1562716v1	Contig	Acinetobacter rathckeae	89.45	2621920
GCF_003611475.1	ASM361147v1	Contig	Acinetobacter rongchengensis	99.49	4102130
GCF_000413895.1	Acin_rudi_CIP_110305_V1	Scaffold	Acinetobacter rudis CIP 110305	98.87	4066694
GCF_010918895.1	ASM1091889v1	Complete Genome	Acinetobacter schindleri	99.61	3337186
GCF_022601685.1	ASM2260168v1	Scaffold	Acinetobacter sedimenti	96.11	2511698
GCF_016064815.1	ASM1606481v1	Complete Genome	Acinetobacter seifertii	99.94	4070688
GCF_019355975.1	ASM1935597v1	Chromosome	Acinetobacter septicus	99.35	3860318
GCF_011578045.1	ASM1157804v1	Complete Genome	Acinetobacter shaoyimingii	99.44	3571042
GCF_003024515.2	ASM302451v2	Contig	Acinetobacter sichuanensis	99.29	4666610
GCF_002135235.1	ASM213523v1	Contig	Acinetobacter silvestris	99.58	3129605
